complex,fragments,state_dimension,atoms,torsions,sigmadock_rmsd_seed0,sigmadock_rmsd_best,sigmadock_success_2A_oracle,sigmaflow_rmsd_seed0,sigmaflow_rmsd_best,sigmaflow_success_2A_oracle
7K0V_VQP,5,30,32,8,4.477,1.678,1,3.488,2.247,0
7KRU_ATP,5,30,31,8,3.711,2.001,0,2.422,2.329,0
7L00_XCJ,5,30,27,6,9.819,1.327,1,1.747,1.747,1
7L6D_BMF,5,30,28,7,4.927,2.009,0,7.692,3.102,0
7LB3_XXS,5,30,29,4,3.984,3.022,0,5.929,5.660,0
7LEV_0JO,5,30,21,6,5.299,1.391,1,5.056,1.472,1
7LJN_GTP,5,30,32,8,3.559,2.022,0,8.877,2.804,0
7M3H_YPV,5,30,24,7,4.782,1.930,1,7.469,2.340,0
7N7H_CTP,5,30,29,8,8.715,2.258,0,1.974,1.748,1
7NF3_4LU,5,30,36,7,4.391,1.349,1,4.718,3.539,0
7NPL_UKZ,5,30,27,7,4.337,2.800,0,3.773,2.713,0
7NXO_UU8,5,30,34,5,2.246,2.043,0,3.131,3.131,0
7O1T_5X8,5,30,25,6,2.508,1.851,1,2.569,2.569,0
7Q5I_I0F,5,30,27,6,2.369,2.369,0,8.118,1.627,1
7QF4_RBF,5,30,27,5,5.034,1.347,1,6.884,1.750,1
7QHL_D5P,5,30,30,8,8.175,2.283,0,8.335,2.548,0
7R7R_AWJ,5,30,33,7,5.406,1.463,1,6.564,3.480,0
7RC3_SAH,5,30,26,7,8.349,1.886,1,3.664,1.478,1
7SCW_GSP,5,30,32,8,8.575,2.203,0,4.994,2.017,0
7T0D_FPP,5,30,24,11,10.025,1.976,1,9.739,1.734,1
7T1D_E7K,5,30,34,5,1.501,1.501,1,11.578,2.096,0
7TUO_KL9,5,30,30,6,2.634,1.313,1,2.538,0.696,1
7UF2_5SP,5,30,14,6,1.948,1.948,1,4.648,2.203,0
7WCF_ACP,5,30,31,8,3.627,2.059,0,3.412,3.412,0
7WL4_JFU,5,30,34,5,4.731,2.672,0,3.642,2.363,0
7WUX_6OI,5,30,17,8,3.425,1.913,1,3.926,3.150,0
7X5N_5M5,5,30,30,4,5.953,2.116,0,4.838,3.963,0
7XBV_APC,5,30,31,8,3.274,2.961,0,4.307,3.253,0
7XQZ_FPF,5,30,25,11,2.741,2.552,0,4.171,2.642,0
7ZZW_KKW,5,30,29,4,4.324,3.615,0,8.804,2.722,0
8AIE_M7L,5,30,23,8,5.474,2.539,0,4.379,2.511,0
8F8E_XJI,5,30,29,7,5.032,2.827,0,5.857,2.747,0
8FV9_80J,5,30,29,8,5.603,4.063,0,7.577,3.155,0
8SLG_G5A,5,30,27,7,1.469,1.469,1,4.013,3.021,0
6XAF_GDP,4,24,28,6,2.557,2.557,0,8.033,2.751,0
6YSP_PAL,4,24,16,7,3.490,2.702,0,2.455,2.252,0
6YT6_PKE,4,24,31,7,5.223,1.022,1,5.638,3.332,0
7A1P_QW2,4,24,13,6,1.450,1.450,1,4.576,2.670,0
7D8Q_GZF,4,24,28,6,7.234,4.292,0,7.379,3.286,0
7ED2_A3P,4,24,27,6,4.713,1.558,1,4.466,1.558,1
7F5D_EUO,4,24,21,3,4.431,2.220,0,6.282,5.060,0
7JHQ_VAJ,4,24,18,3,1.918,1.479,1,4.956,2.651,0
7K41_VUA,4,24,22,5,1.969,1.969,1,3.132,3.132,0
7MRH_ZMJ,4,24,24,4,3.329,2.977,0,7.228,2.833,0
7NLV_UJE,4,24,21,7,7.731,1.146,1,4.984,1.841,1
7OFF_VCB,4,24,27,5,6.773,3.721,0,5.489,4.790,0
7OZ9_NGK,4,24,19,5,2.586,2.586,0,3.876,3.194,0
7P1M_4IU,4,24,24,5,6.388,2.310,0,7.818,5.337,0
7P5T_5YG,4,24,23,6,3.304,1.040,1,9.009,1.625,1
7QK0_EBL,4,24,38,4,9.700,6.634,0,10.555,5.441,0
7RKW_5TV,4,24,25,6,3.187,2.375,0,3.625,3.205,0
7WUY_76N,4,24,30,3,7.077,1.626,1,7.576,1.965,1
7XEK_9YX,4,24,22,5,5.221,4.287,0,5.205,2.387,0
7ZL5_IWE,4,24,23,5,5.217,1.787,1,6.506,2.676,0
7ZTL_BCN,4,24,11,6,2.874,2.064,0,2.825,2.648,0
8AP0_PRP,4,24,22,7,5.097,2.830,0,2.650,2.650,0
8AUH_L9I,4,24,11,4,4.586,1.874,1,3.547,2.584,0
8AY3_OE3,4,24,25,5,5.774,2.228,0,5.533,2.911,0
8BRO_R7E,4,24,26,5,7.711,3.193,0,5.484,4.158,0
8D39_QDB,4,24,17,3,1.520,1.511,1,3.828,2.402,0
8ERS_WQO,4,24,23,4,2.626,1.357,1,6.769,2.373,0
8EX2_Q2Q,4,24,26,3,7.346,1.343,1,5.230,3.423,0
8FO5_Y4U,4,24,17,3,4.662,3.146,0,5.757,1.330,1
6ZPB_3D1,3,18,18,2,5.823,1.328,1,5.892,2.626,0
7C8Q_DSG,3,18,9,3,1.734,1.473,1,3.732,1.745,1
7FT9_4MB,3,18,14,3,5.242,1.443,1,5.514,1.094,1
7JG0_GAR,3,18,18,6,2.860,2.098,0,1.412,1.412,1
7KQU_YOF,3,18,14,3,2.324,1.595,1,2.506,2.368,0
7LZQ_YJV,3,18,22,4,6.890,3.461,0,4.659,2.573,0
7NLK_UHK,3,18,16,5,2.778,1.481,1,5.554,1.549,1
7NML_I7B,3,18,16,2,3.465,2.053,0,3.713,3.248,0
7NU0_DCL,3,18,8,3,2.965,2.123,0,4.027,2.121,0
7ODX_DGP,3,18,23,4,1.173,1.173,1,3.882,3.487,0
7OLI_8HG,3,18,20,2,1.594,1.594,1,4.042,2.372,0
7OPG_06N,3,18,19,4,2.881,1.257,1,3.459,1.177,1
7OSO_0V1,3,18,7,3,3.590,1.840,1,3.690,1.666,1
7P85_5ZG,3,18,14,4,4.748,1.606,1,3.688,1.649,1
7PA4_C,3,18,21,4,3.525,3.525,0,3.956,1.622,1
7PIH_7QW,3,18,24,3,2.138,1.350,1,8.042,2.665,0
7Q19_DSM,3,18,20,4,5.358,1.854,1,1.796,1.796,1
7QE4_NGA,3,18,15,3,4.756,2.002,0,4.490,2.055,0
7RWS_4UR,3,18,45,2,3.933,2.345,0,4.649,3.870,0
7SED_8VD,3,18,17,3,3.519,1.767,1,5.826,1.120,1
7TS6_KMI,3,18,17,3,4.768,1.724,1,6.801,1.865,1
7TSF_H4B,3,18,17,2,6.077,1.765,1,5.827,1.824,1
7TWC_CXS,3,18,14,5,4.595,2.223,0,6.829,1.964,1
7TXK_LW8,3,18,15,4,1.575,1.575,1,4.769,1.672,1
7UJ5_DGL,3,18,10,4,4.138,1.334,1,3.935,1.725,1
7USH_82V,3,18,26,2,3.803,1.719,1,6.438,2.773,0
7UY4_SMI,3,18,24,2,5.850,2.281,0,2.575,1.922,1
7VB8_STL,3,18,17,2,7.002,0.939,1,2.037,1.793,1
7W05_GMP,3,18,20,2,2.743,1.942,1,4.350,2.329,0
7W06_ITN,3,18,9,3,1.812,1.777,1,3.866,1.844,1
7X9K_8OG,3,18,24,4,5.324,1.154,1,6.276,3.893,0
7XRL_FWK,3,18,19,2,4.188,1.686,1,3.139,2.228,0
7YZU_DO7,3,18,16,3,4.037,1.438,1,4.337,1.154,1
7Z7F_IF3,3,18,14,2,4.105,2.542,0,2.678,2.015,0
7ZCC_OGA,3,18,10,4,3.699,0.767,1,4.650,1.789,1
7ZHP_IQY,3,18,27,2,4.236,0.929,1,4.330,3.958,0
8AIJ_M9I,3,18,19,3,2.440,1.528,1,5.409,2.554,0
8AJX_FUM,3,18,8,2,2.344,2.344,0,3.161,2.301,0
8C5M_MTA,3,18,20,3,2.582,2.146,0,4.207,2.064,0
8CGC_LMR,3,18,9,3,3.501,1.874,1,4.399,2.393,0
8CSD_C5P,3,18,21,4,3.193,2.412,0,4.358,4.038,0
5S8I_2LY,2,12,13,2,4.088,1.218,1,3.092,1.018,1
5SAK_ZRY,2,12,18,2,4.067,1.595,1,6.526,2.437,0
6T88_MWQ,2,12,10,3,1.428,0.847,1,3.617,1.473,1
6Z14_Q4Z,2,12,18,3,5.746,1.474,1,3.354,1.694,1
6Z5Z_BDF,2,12,12,1,4.425,3.372,0,3.294,3.039,0
7BLG_GAL,2,12,12,1,3.394,2.421,0,2.902,2.794,0
7BNH_BEZ,2,12,9,1,2.790,1.276,1,3.321,2.062,0
7CNQ_G8X,2,12,9,1,2.519,1.548,1,2.582,1.513,1
7CUO_PHB,2,12,10,1,1.310,0.923,1,3.941,1.188,1
7E4L_MDN,2,12,9,2,2.916,1.983,1,2.432,1.795,1
7ECR_SIN,2,12,8,3,1.387,1.111,1,1.655,1.325,1
7JMV_4NC,2,12,11,1,1.849,0.704,1,2.674,1.992,1
7KFO_IAC,2,12,13,2,2.615,2.150,0,3.273,1.733,1
7LOU_IFM,2,12,10,1,1.491,0.854,1,3.468,2.224,0
7NFB_GEN,2,12,20,1,6.948,0.418,1,5.416,0.620,1
7NR6_UO8,2,12,17,1,1.796,1.146,1,4.117,1.860,1
7OZC_G6S,2,12,16,3,2.229,0.902,1,2.191,2.191,0
7P2I_MFU,2,12,12,1,3.780,1.845,1,3.253,1.216,1
7Q2B_M6H,2,12,12,2,2.732,1.495,1,5.311,2.161,0
7RSV_7IQ,2,12,20,1,0.722,0.722,1,6.497,2.148,0
7RWO_7WN,2,12,20,2,2.728,2.097,0,3.639,1.032,1
7RZL_NPO,2,12,10,1,3.215,1.086,1,3.924,2.207,0
7SZA_DUI,2,12,20,1,6.280,0.996,1,2.604,1.277,1
7THI_PGA,2,12,9,3,3.554,1.435,1,4.234,1.669,1
7TOM_5AD,2,12,18,1,4.856,2.183,0,2.415,1.521,1
7UAW_MF6,2,12,35,1,4.573,2.415,0,6.132,3.181,0
7VBU_6I4,2,12,17,1,6.176,1.034,1,6.081,1.098,1
7VJT_7IJ,2,12,27,2,7.687,1.749,1,3.032,3.032,0
7VKZ_NOJ,2,12,11,1,3.612,1.356,1,2.851,1.443,1
7Z1Q_NIO,2,12,9,1,3.624,1.460,1,2.036,1.486,1
7Z2O_IAJ,2,12,14,1,2.072,1.799,1,3.063,1.593,1
7ZDY_6MJ,2,12,11,1,4.121,1.250,1,3.872,2.611,0
8AEM_LVF,2,12,13,1,3.581,1.457,1,4.001,1.821,1
8HO0_3ZI,2,12,22,2,3.321,2.415,0,3.293,1.598,1
6Z0R_Q4H,1,6,9,0,2.127,1.121,1,3.549,2.284,0
7FB7_8NF,1,6,9,0,3.302,0.845,1,3.682,2.497,0
7LOE_Y84,1,6,11,0,1.445,1.226,1,2.936,0.489,1
7ORW_7WA,1,6,10,0,2.321,1.890,1,3.153,1.236,1
7WKL_CAQ,1,6,8,0,2.978,0.908,1,2.765,0.313,1
