complex,seed,step,n_frag,n_atoms,rmsd,rot_mean_deg,rot_max_deg,trans_mean_A,com_offset_A,step_rot_deg,step_trans_A
5SAK_ZRY,0,6,2,18,6.3432,140.218,141.753,5.1387,3.4658,1.412,0.2416
5SAK_ZRY,0,7,2,18,6.2300,140.414,141.536,5.0307,3.2840,1.603,0.2463
5SAK_ZRY,0,8,2,18,6.1277,140.731,141.257,4.9382,3.1043,1.609,0.2381
5SAK_ZRY,0,9,2,18,6.0369,141.039,141.080,4.8591,2.9316,1.767,0.2425
5SAK_ZRY,0,10,2,18,5.9611,141.503,142.134,4.8007,2.7639,1.779,0.2406
5SAK_ZRY,0,11,2,18,5.8956,142.114,143.313,4.7575,2.5965,1.897,0.2415
5SAK_ZRY,0,12,2,18,5.8472,142.933,144.822,4.7339,2.4361,1.992,0.2409
5SAK_ZRY,0,13,2,18,5.8135,143.923,146.519,4.7257,2.2809,1.940,0.2428
5SAK_ZRY,0,14,2,18,5.7914,144.896,148.040,4.7316,2.1215,1.934,0.2335
5SAK_ZRY,0,15,2,18,5.7789,145.796,149.292,4.7481,1.9614,2.029,0.2351
5SAK_ZRY,0,16,2,18,5.7727,146.537,150.229,4.7732,1.7940,1.993,0.2312
5SAK_ZRY,0,17,2,18,5.7785,147.283,151.031,4.8100,1.6262,2.258,0.2403
5SAK_ZRY,0,18,2,18,5.7991,148.092,151.625,4.8645,1.4499,2.366,0.2335
5SAK_ZRY,0,19,2,18,5.8324,148.848,152.018,4.9309,1.2830,2.138,0.2312
5SAK_ZRY,0,20,2,18,5.8738,149.332,152.152,5.0039,1.1208,2.004,0.2168
5SAK_ZRY,0,21,2,18,5.9348,149.616,152.081,5.0958,0.9903,1.746,0.2146
5SAK_ZRY,0,22,2,18,6.0199,149.869,151.852,5.2092,0.8954,1.478,0.2081
5SAK_ZRY,0,23,2,18,6.1358,150.003,151.543,5.3525,0.8566,0.977,0.2088
5SAK_ZRY,0,24,2,18,6.2808,150.188,151.649,5.5223,0.8665,0.000,0.0000
5SD5_HWI,0,0,7,29,5.9469,145.125,170.227,5.8188,2.5371,0.318,0.2287
5SD5_HWI,0,1,7,29,5.7891,145.098,170.401,5.6253,2.4250,0.324,0.2184
5SD5_HWI,0,2,7,29,5.6433,145.062,170.503,5.4438,2.3184,0.366,0.2207
5SD5_HWI,0,3,7,29,5.5007,144.974,170.498,5.2628,2.2108,0.486,0.2222
5SD5_HWI,0,4,7,29,5.3658,144.824,170.346,5.0872,2.1035,0.594,0.2175
5SD5_HWI,0,5,7,29,5.2396,144.693,170.099,4.9203,1.9946,0.791,0.2100
5SD5_HWI,0,6,7,29,5.1280,144.534,169.824,4.7676,1.8851,0.919,0.2046
5SD5_HWI,0,7,7,29,5.0370,144.404,169.487,4.6328,1.7854,1.214,0.2005
5SD5_HWI,0,8,7,29,4.9581,144.170,169.146,4.5077,1.6878,1.284,0.2008
5SD5_HWI,0,9,7,29,4.8934,143.958,168.779,4.3949,1.5951,1.806,0.1972
5SD5_HWI,0,10,7,29,4.8375,143.511,168.411,4.2907,1.5046,1.943,0.1941
5SD5_HWI,0,11,7,29,4.7990,143.080,167.804,4.2048,1.4171,2.072,0.1938
5SD5_HWI,0,12,7,29,4.7741,142.702,167.155,4.1365,1.3269,2.449,0.1924
5SD5_HWI,0,13,7,29,4.7644,142.203,166.592,4.0853,1.2406,2.737,0.1958
5SD5_HWI,0,14,7,29,4.7736,141.790,166.037,4.0563,1.1535,2.957,0.1977
5SD5_HWI,0,15,7,29,4.7906,141.184,165.485,4.0388,1.0804,3.226,0.1990
5SD5_HWI,0,16,7,29,4.8218,140.556,164.950,4.0434,1.0100,3.330,0.1940
5SD5_HWI,0,17,7,29,4.8653,139.809,164.554,4.0662,0.9622,3.605,0.2014
5SD5_HWI,0,18,7,29,4.9241,138.885,164.087,4.1073,0.9324,3.780,0.2041
5SD5_HWI,0,19,7,29,4.9929,137.860,163.990,4.1625,0.9169,3.955,0.2057
5SD5_HWI,0,20,7,29,5.0789,136.867,164.099,4.2359,0.9168,4.325,0.2135
5SD5_HWI,0,21,7,29,5.1851,136.144,164.368,4.3241,0.9226,4.500,0.2239
5SD5_HWI,0,22,7,29,5.3114,135.565,164.512,4.4319,0.9385,4.848,0.2405
5SD5_HWI,0,23,7,29,5.4626,134.916,164.481,4.5589,0.9618,5.046,0.2525
5SD5_HWI,0,24,7,29,5.6163,134.106,164.535,4.6793,0.9793,0.000,0.0000
5SIS_JSM,0,0,7,32,7.2959,103.932,173.290,6.8833,1.4424,0.506,0.1817
5SIS_JSM,0,1,7,32,7.1735,103.857,173.461,6.7421,1.3898,0.506,0.1749
5SIS_JSM,0,2,7,32,7.0571,103.834,173.613,6.6080,1.3391,0.669,0.1722
5SIS_JSM,0,3,7,32,6.9449,103.884,173.791,6.4784,1.2888,1.022,0.1761
5SIS_JSM,0,4,7,32,6.8301,103.976,174.156,6.3469,1.2349,1.391,0.1822
5SIS_JSM,0,5,7,32,6.7142,104.192,174.713,6.2165,1.1791,1.795,0.1928
5SIS_JSM,0,6,7,32,6.6006,104.587,175.333,6.0903,1.1207,2.152,0.1992
5SIS_JSM,0,7,7,32,6.4880,105.171,176.038,5.9681,1.0640,2.551,0.2096
5SIS_JSM,0,8,7,32,6.3752,105.975,176.868,5.8483,1.0047,2.776,0.2091
5SIS_JSM,0,9,7,32,6.2715,106.968,177.822,5.7404,0.9445,3.111,0.2110
5SIS_JSM,0,10,7,32,6.1720,108.277,178.875,5.6382,0.8856,3.183,0.2092
5SIS_JSM,0,11,7,32,6.0750,109.792,179.946,5.5398,0.8308,3.161,0.2123
5SIS_JSM,0,12,7,32,5.9788,111.030,178.981,5.4429,0.7750,3.189,0.2129
5SIS_JSM,0,13,7,32,5.8898,112.247,177.814,5.3534,0.7156,3.341,0.2212
5SIS_JSM,0,14,7,32,5.8001,113.615,176.639,5.2644,0.6529,3.340,0.2211
5SIS_JSM,0,15,7,32,5.7061,115.046,175.381,5.1714,0.5925,3.302,0.2218
5SIS_JSM,0,16,7,32,5.6241,116.397,173.965,5.0927,0.5373,3.334,0.2204
5SIS_JSM,0,17,7,32,5.5517,117.573,172.133,5.0261,0.4845,3.359,0.2203
5SIS_JSM,0,18,7,32,5.4819,118.537,170.007,4.9631,0.4399,3.532,0.2146
5SIS_JSM,0,19,7,32,5.4198,119.603,167.956,4.9070,0.3975,3.706,0.2174
5SIS_JSM,0,20,7,32,5.3627,120.688,165.692,4.8561,0.3593,3.696,0.2221
5SIS_JSM,0,21,7,32,5.3098,121.668,163.437,4.8078,0.3334,3.891,0.2286
5SIS_JSM,0,22,7,32,5.2540,122.581,160.996,4.7601,0.3056,3.743,0.2407
5SIS_JSM,0,23,7,32,5.1924,123.239,158.005,4.7041,0.2811,3.439,0.2669
5SIS_JSM,0,24,7,32,5.1406,123.376,154.603,4.6475,0.2655,0.000,0.0000
6T88_MWQ,0,0,2,10,8.8852,164.029,168.249,7.5111,7.1906,0.293,0.2740
6T88_MWQ,0,1,2,10,8.6168,164.149,168.573,7.2494,6.9231,0.323,0.2711
6T88_MWQ,0,2,2,10,8.3514,164.301,168.936,6.9931,6.6554,0.454,0.2670
6T88_MWQ,0,3,2,10,8.0949,164.541,169.450,6.7423,6.3933,0.598,0.2555
6T88_MWQ,0,4,2,10,7.8566,164.846,170.038,6.5042,6.1454,0.865,0.2526
6T88_MWQ,0,5,2,10,7.6277,165.293,170.799,6.2738,5.9004,1.147,0.2564
6T88_MWQ,0,6,2,10,7.4022,165.832,171.720,6.0447,5.6532,1.391,0.2570
6T88_MWQ,0,7,2,10,7.1859,166.442,172.718,5.8219,5.4071,1.961,0.2585
6T88_MWQ,0,8,2,10,6.9876,167.326,173.859,5.6130,5.1639,2.012,0.2515
6T88_MWQ,0,9,2,10,6.8005,168.258,175.065,5.4141,4.9308,2.608,0.2584
6T88_MWQ,0,10,2,10,6.6234,169.525,176.705,5.2243,4.6937,2.873,0.2633
6T88_MWQ,0,11,2,10,6.4492,170.824,178.237,5.0429,4.4533,3.191,0.2611
6T88_MWQ,0,12,2,10,6.2892,172.227,179.789,4.8810,4.2179,3.539,0.2576
6T88_MWQ,0,13,2,10,6.1472,172.364,178.547,4.7399,3.9922,3.665,0.2520
6T88_MWQ,0,14,2,10,6.0202,172.564,176.995,4.6206,3.7782,3.559,0.2442
6T88_MWQ,0,15,2,10,5.9055,172.733,175.425,4.5249,3.5721,3.387,0.2343
6T88_MWQ,0,16,2,10,5.8075,172.922,173.910,4.4481,3.3834,3.628,0.2341
6T88_MWQ,0,17,2,10,5.7196,173.332,174.133,4.3921,3.1969,3.595,0.2122
6T88_MWQ,0,18,2,10,5.6548,173.571,176.024,4.3541,3.0442,3.542,0.2011
6T88_MWQ,0,19,2,10,5.6062,174.033,178.121,4.3298,2.9156,3.335,0.1942
6T88_MWQ,0,20,2,10,5.5758,174.508,179.846,4.3284,2.8033,3.184,0.1752
6T88_MWQ,0,21,2,10,5.5617,173.563,178.294,4.3417,2.7182,3.052,0.1657
6T88_MWQ,0,22,2,10,5.5629,172.925,176.803,4.3738,2.6470,2.709,0.1345
6T88_MWQ,0,23,2,10,5.5847,172.694,175.888,4.4204,2.6080,2.300,0.1081
6T88_MWQ,0,24,2,10,5.6252,172.950,175.437,4.4856,2.5871,0.000,0.0000
6TW5_9M2,0,0,5,31,7.1420,136.253,178.074,6.8425,0.8521,0.291,0.1826
6TW5_9M2,0,1,5,31,6.9961,136.144,177.773,6.6993,0.8051,0.233,0.1763
6TW5_9M2,0,2,5,31,6.8582,136.053,177.532,6.5632,0.7627,0.256,0.1784
6TW5_9M2,0,3,5,31,6.7250,135.986,177.317,6.4299,0.7197,0.417,0.1778
6TW5_9M2,0,4,5,31,6.6029,135.908,176.934,6.3068,0.6751,0.718,0.1770
6TW5_9M2,0,5,5,31,6.4972,135.836,176.152,6.1997,0.6330,1.063,0.1811
6TW5_9M2,0,6,5,31,6.4045,135.816,175.069,6.1041,0.5910,1.200,0.1799
6TW5_9M2,0,7,5,31,6.3276,135.946,174.156,6.0212,0.5525,1.694,0.1915
6TW5_9M2,0,8,5,31,6.2778,136.032,172.627,5.9637,0.5160,1.968,0.1969
6TW5_9M2,0,9,5,31,6.2373,136.183,170.745,5.9125,0.4867,2.396,0.2083
6TW5_9M2,0,10,5,31,6.2158,136.306,168.267,5.8764,0.4569,2.688,0.2121
6TW5_9M2,0,11,5,31,6.2128,136.620,166.114,5.8573,0.4334,2.847,0.2103
6TW5_9M2,0,12,5,31,6.2253,137.150,167.320,5.8497,0.4171,3.198,0.2140
6TW5_9M2,0,13,5,31,6.2488,137.889,168.907,5.8503,0.4075,3.410,0.2224
6TW5_9M2,0,14,5,31,6.2858,138.936,170.800,5.8582,0.4087,3.597,0.2239
6TW5_9M2,0,15,5,31,6.3309,140.259,173.006,5.8702,0.4086,3.835,0.2240
6TW5_9M2,0,16,5,31,6.3898,141.822,175.496,5.8917,0.4197,4.075,0.2249
6TW5_9M2,0,17,5,31,6.4564,143.740,178.556,5.9167,0.4394,4.353,0.2195
6TW5_9M2,0,18,5,31,6.5299,144.894,177.639,5.9467,0.4565,4.570,0.2220
6TW5_9M2,0,19,5,31,6.6071,145.164,173.184,5.9784,0.4886,4.687,0.2262
6TW5_9M2,0,20,5,31,6.6944,145.408,168.469,6.0156,0.5284,4.534,0.2149
6TW5_9M2,0,21,5,31,6.7824,145.475,163.687,6.0569,0.5712,4.564,0.2143
6TW5_9M2,0,22,5,31,6.8694,145.501,163.400,6.0997,0.6098,4.413,0.2016
6TW5_9M2,0,23,5,31,6.9494,145.498,164.785,6.1403,0.6357,4.288,0.1928
6TW5_9M2,0,24,5,31,7.0240,145.614,165.630,6.1833,0.6439,0.000,0.0000
6VTA_AKN,0,0,8,40,7.4568,145.949,175.012,7.4603,4.8855,0.660,0.2385
6VTA_AKN,0,1,8,40,7.2411,146.014,175.151,7.2689,4.6563,0.631,0.2320
6VTA_AKN,0,2,8,40,7.0388,146.115,175.337,7.0862,4.4301,0.815,0.2378
6VTA_AKN,0,3,8,40,6.8404,146.171,175.655,6.9070,4.1873,1.147,0.2410
6VTA_AKN,0,4,8,40,6.6530,146.158,176.209,6.7393,3.9313,1.501,0.2376
6VTA_AKN,0,5,8,40,6.4878,146.154,176.924,6.5919,3.6771,1.741,0.2351
6VTA_AKN,0,6,8,40,6.3442,146.215,177.812,6.4648,3.4205,1.897,0.2298
6VTA_AKN,0,7,8,40,6.2277,146.399,178.859,6.3616,3.1689,2.184,0.2320
6VTA_AKN,0,8,8,40,6.1389,146.565,179.933,6.2769,2.9247,2.393,0.2306
6VTA_AKN,0,9,8,40,6.0704,146.235,178.642,6.2059,2.6840,2.583,0.2310
6VTA_AKN,0,10,8,40,6.0281,145.922,177.321,6.1548,2.4515,2.720,0.2407
6VTA_AKN,0,11,8,40,6.0083,145.846,176.115,6.1220,2.2172,2.893,0.2456
6VTA_AKN,0,12,8,40,6.0116,145.928,174.718,6.1054,1.9855,2.921,0.2455
6VTA_AKN,0,13,8,40,6.0414,146.210,173.391,6.1077,1.7639,3.061,0.2497
6VTA_AKN,0,14,8,40,6.0908,146.644,172.122,6.1228,1.5527,3.163,0.2462
6VTA_AKN,0,15,8,40,6.1551,147.197,170.774,6.1484,1.3554,3.063,0.2548
6VTA_AKN,0,16,8,40,6.2334,147.912,169.627,6.1814,1.1502,2.993,0.2593
6VTA_AKN,0,17,8,40,6.3258,148.652,168.572,6.2252,0.9537,2.977,0.2667
6VTA_AKN,0,18,8,40,6.4333,149.435,167.559,6.2808,0.7600,2.847,0.2592
6VTA_AKN,0,19,8,40,6.5449,150.227,166.693,6.3366,0.5825,2.938,0.2634
6VTA_AKN,0,20,8,40,6.6685,150.918,165.564,6.4060,0.4331,3.136,0.2633
6VTA_AKN,0,21,8,40,6.8000,151.356,163.748,6.4885,0.3547,3.392,0.2693
6VTA_AKN,0,22,8,40,6.9447,151.695,161.666,6.5895,0.3782,3.917,0.2668
6VTA_AKN,0,23,8,40,7.0974,151.941,158.988,6.7129,0.4798,4.875,0.2590
6VTA_AKN,0,24,8,40,7.2656,152.191,161.952,6.8677,0.6120,0.000,0.0000
6XAF_GDP,0,0,4,28,6.5973,117.156,144.442,6.1004,3.3845,0.455,0.2275
6XAF_GDP,0,1,4,28,6.4194,117.122,144.166,5.9062,3.2173,0.423,0.2237
6XAF_GDP,0,2,4,28,6.2503,117.152,144.343,5.7198,3.0474,0.549,0.2196
6XAF_GDP,0,3,4,28,6.0806,117.129,144.560,5.5300,2.8892,0.864,0.2208
6XAF_GDP,0,4,4,28,5.9034,116.996,144.655,5.3271,2.7464,1.139,0.2392
6XAF_GDP,0,5,4,28,5.7124,116.758,144.631,5.1003,2.6016,1.347,0.2508
6XAF_GDP,0,6,4,28,5.5152,116.374,144.328,4.8596,2.4618,1.532,0.2623
6XAF_GDP,0,7,4,28,5.3143,115.901,143.853,4.6080,2.3262,2.064,0.2833
6XAF_GDP,0,8,4,28,5.1044,115.221,143.103,4.3385,2.2063,2.324,0.2919
6XAF_GDP,0,9,4,28,4.8943,114.455,142.328,4.0627,2.0880,2.595,0.2928
6XAF_GDP,0,10,4,28,4.6902,113.644,141.814,3.7900,1.9820,2.848,0.2928
6XAF_GDP,0,11,4,28,4.4905,112.711,141.823,3.5174,1.8746,3.030,0.2857
6XAF_GDP,0,12,4,28,4.3007,111.719,141.931,3.2524,1.7690,3.150,0.2782
6XAF_GDP,0,13,4,28,4.1161,110.539,142.075,2.9943,1.6570,3.191,0.2789
6XAF_GDP,0,14,4,28,3.9319,109.127,142.203,2.7363,1.5332,3.187,0.2642
6XAF_GDP,0,15,4,28,3.7612,107.571,142.169,2.4945,1.4082,3.200,0.2669
6XAF_GDP,0,16,4,28,3.5966,105.780,141.786,2.2577,1.2800,3.408,0.2610
6XAF_GDP,0,17,4,28,3.4440,103.822,141.299,2.0444,1.1577,3.645,0.2700
6XAF_GDP,0,18,4,28,3.3081,101.734,140.456,1.8849,1.0307,4.033,0.2565
6XAF_GDP,0,19,4,28,3.2008,99.383,139.487,1.7875,0.9323,4.362,0.2571
6XAF_GDP,0,20,4,28,3.1234,97.006,138.249,1.7297,0.8561,4.570,0.2453
6XAF_GDP,0,21,4,28,3.0799,94.806,137.169,1.7101,0.8053,4.844,0.2427
6XAF_GDP,0,22,4,28,3.0730,92.762,136.113,1.7302,0.7879,4.907,0.2292
6XAF_GDP,0,23,4,28,3.1071,91.059,135.058,1.7902,0.8146,4.919,0.2463
6XAF_GDP,0,24,4,28,3.1880,89.798,134.136,1.8786,0.8826,0.000,0.0000
6XG5_TOP,0,0,5,21,6.2827,159.651,174.929,4.7834,2.6457,0.313,0.1795
6XG5_TOP,0,1,5,21,6.1255,159.506,174.865,4.6605,2.5165,0.335,0.1698
6XG5_TOP,0,2,5,21,5.9805,159.386,174.873,4.5486,2.3938,0.454,0.1687
6XG5_TOP,0,3,5,21,5.8331,159.204,174.804,4.4322,2.2755,0.539,0.1709
6XG5_TOP,0,4,5,21,5.6811,159.042,174.824,4.3104,2.1589,0.611,0.1697
6XG5_TOP,0,5,5,21,5.5255,158.979,175.043,4.1877,2.0411,0.733,0.1730
6XG5_TOP,0,6,5,21,5.3591,158.831,175.306,4.0558,1.9223,0.643,0.1792
6XG5_TOP,0,7,5,21,5.1917,158.786,175.733,3.9330,1.7887,0.979,0.1853
6XG5_TOP,0,8,5,21,5.0058,158.571,176.281,3.7900,1.6604,1.118,0.1928
6XG5_TOP,0,9,5,21,4.8148,158.226,176.758,3.6312,1.5515,1.137,0.1975
6XG5_TOP,0,10,5,21,4.6198,157.871,177.233,3.4722,1.4340,1.589,0.2128
6XG5_TOP,0,11,5,21,4.4151,157.122,177.566,3.2926,1.3327,1.850,0.2297
6XG5_TOP,0,12,5,21,4.2059,156.251,177.997,3.0977,1.2482,2.255,0.2366
6XG5_TOP,0,13,5,21,4.0014,155.140,178.557,2.8998,1.1785,2.503,0.2435
6XG5_TOP,0,14,5,21,3.7993,153.767,179.132,2.7011,1.1144,2.488,0.2535
6XG5_TOP,0,15,5,21,3.6062,152.127,179.518,2.5060,1.0689,2.547,0.2590
6XG5_TOP,0,16,5,21,3.4233,150.167,179.608,2.3237,1.0311,2.668,0.2606
6XG5_TOP,0,17,5,21,3.2560,147.886,179.529,2.1677,1.0026,2.945,0.2693
6XG5_TOP,0,18,5,21,3.1109,145.356,179.402,2.0491,0.9894,2.981,0.2676
6XG5_TOP,0,19,5,21,2.9893,142.865,179.424,1.9802,0.9794,3.269,0.2871
6XG5_TOP,0,20,5,21,2.8999,140.372,179.567,1.9689,0.9906,3.438,0.2929
6XG5_TOP,0,21,5,21,2.8485,138.152,179.768,2.0155,1.0105,3.783,0.3148
6XG5_TOP,0,22,5,21,2.8344,135.996,179.993,2.1212,1.0407,3.877,0.3424
6XG5_TOP,0,23,5,21,2.8749,133.944,179.428,2.2885,1.0879,3.741,0.3614
6XG5_TOP,0,24,5,21,2.9699,132.384,178.568,2.5023,1.1300,0.000,0.0000
6XUM_30L,0,0,5,25,4.9303,121.371,152.227,4.7975,1.5696,0.385,0.2106
6XUM_30L,0,1,5,25,4.8159,121.403,152.117,4.6518,1.5652,0.312,0.2046
6XUM_30L,0,2,5,25,4.7125,121.424,152.009,4.5165,1.5664,0.372,0.1964
6XUM_30L,0,3,5,25,4.6147,121.468,151.830,4.3858,1.5706,0.586,0.1824
6XUM_30L,0,4,5,25,4.5234,121.526,151.489,4.2620,1.5779,0.865,0.1735
6XUM_30L,0,5,5,25,4.4405,121.673,151.117,4.1455,1.5830,1.212,0.1705
6XUM_30L,0,6,5,25,4.3708,121.946,151.080,4.0399,1.5954,1.358,0.1693
6XUM_30L,0,7,5,25,4.3058,122.354,151.469,3.9370,1.6025,1.773,0.1652
6XUM_30L,0,8,5,25,4.2554,122.992,151.976,3.8473,1.6148,2.050,0.1593
6XUM_30L,0,9,5,25,4.2130,123.699,152.607,3.7647,1.6258,2.364,0.1518
6XUM_30L,0,10,5,25,4.1831,124.598,153.341,3.6963,1.6358,2.628,0.1515
6XUM_30L,0,11,5,25,4.1617,125.560,154.042,3.6355,1.6451,2.807,0.1534
6XUM_30L,0,12,5,25,4.1446,126.539,154.759,3.5773,1.6508,3.108,0.1562
6XUM_30L,0,13,5,25,4.1322,127.588,155.640,3.5229,1.6537,3.150,0.1642
6XUM_30L,0,14,5,25,4.1191,128.550,156.517,3.4675,1.6567,3.300,0.1642
6XUM_30L,0,15,5,25,4.1024,129.273,157.190,3.4112,1.6490,3.296,0.1686
6XUM_30L,0,16,5,25,4.0940,129.870,157.670,3.3650,1.6336,3.582,0.1706
6XUM_30L,0,17,5,25,4.0934,130.172,157.761,3.3279,1.6202,3.678,0.1672
6XUM_30L,0,18,5,25,4.0978,130.192,157.714,3.2964,1.6059,3.723,0.1683
6XUM_30L,0,19,5,25,4.1094,130.033,157.382,3.2731,1.6044,3.995,0.1626
6XUM_30L,0,20,5,25,4.1204,129.592,156.884,3.2526,1.5983,4.147,0.1465
6XUM_30L,0,21,5,25,4.1352,128.800,156.167,3.2409,1.5967,4.689,0.1395
6XUM_30L,0,22,5,25,4.1550,127.532,154.620,3.2393,1.5944,5.138,0.1322
6XUM_30L,0,23,5,25,4.1805,125.828,152.388,3.2488,1.5946,5.216,0.1447
6XUM_30L,0,24,5,25,4.2259,123.946,149.403,3.2822,1.6026,0.000,0.0000
6Y7L_QMG,0,0,5,25,6.5030,114.342,139.665,6.6036,3.1678,0.800,0.2153
6Y7L_QMG,0,1,5,25,6.3584,114.024,139.472,6.4356,3.0883,0.748,0.2065
6Y7L_QMG,0,2,5,25,6.2212,113.703,139.308,6.2773,3.0060,0.884,0.2110
6Y7L_QMG,0,3,5,25,6.0844,113.352,139.247,6.1193,2.9273,1.063,0.2195
6Y7L_QMG,0,4,5,25,5.9476,112.968,139.283,5.9603,2.8531,1.157,0.2196
6Y7L_QMG,0,5,5,25,5.8172,112.606,139.371,5.8086,2.7850,1.400,0.2258
6Y7L_QMG,0,6,5,25,5.6917,112.161,139.486,5.6625,2.7259,1.534,0.2232
6Y7L_QMG,0,7,5,25,5.5791,111.682,139.595,5.5311,2.6812,1.658,0.2246
6Y7L_QMG,0,8,5,25,5.4774,111.213,139.681,5.4120,2.6483,1.729,0.2355
6Y7L_QMG,0,9,5,25,5.3796,110.726,139.718,5.2978,2.6141,1.936,0.2448
6Y7L_QMG,0,10,5,25,5.2828,110.180,139.903,5.1859,2.5823,1.973,0.2506
6Y7L_QMG,0,11,5,25,5.1950,109.763,140.133,5.0829,2.5510,2.014,0.2539
6Y7L_QMG,0,12,5,25,5.1159,109.360,140.339,4.9889,2.5290,2.095,0.2554
6Y7L_QMG,0,13,5,25,5.0433,109.056,140.578,4.9013,2.5085,2.164,0.2514
6Y7L_QMG,0,14,5,25,4.9843,108.897,140.816,4.8278,2.4970,2.108,0.2551
6Y7L_QMG,0,15,5,25,4.9333,108.759,140.993,4.7636,2.4922,2.159,0.2521
6Y7L_QMG,0,16,5,25,4.8935,108.852,141.433,4.7088,2.4877,2.316,0.2492
6Y7L_QMG,0,17,5,25,4.8670,109.050,141.731,4.6701,2.4911,2.405,0.2561
6Y7L_QMG,0,18,5,25,4.8463,109.336,141.943,4.6385,2.4876,2.424,0.2619
6Y7L_QMG,0,19,5,25,4.8383,109.783,141.897,4.6228,2.4868,2.763,0.2744
6Y7L_QMG,0,20,5,25,4.8427,110.220,141.405,4.6274,2.4959,2.967,0.2705
6Y7L_QMG,0,21,5,25,4.8597,110.460,140.436,4.6557,2.5148,3.480,0.2792
6Y7L_QMG,0,22,5,25,4.8856,110.861,138.767,4.6934,2.5299,4.050,0.2875
6Y7L_QMG,0,23,5,25,4.9277,111.224,137.132,4.7567,2.5667,4.820,0.3011
6Y7L_QMG,0,24,5,25,4.9915,111.908,135.305,4.8391,2.6177,0.000,0.0000
6YDY_K73,0,0,6,28,6.2510,100.706,147.931,5.6412,2.4171,0.537,0.2014
6YDY_K73,0,1,6,28,6.1090,100.532,148.296,5.4876,2.3217,0.471,0.2009
6YDY_K73,0,2,6,28,5.9711,100.410,148.700,5.3372,2.2203,0.649,0.2077
6YDY_K73,0,3,6,28,5.8200,100.165,149.133,5.1740,2.1138,0.975,0.2223
6YDY_K73,0,4,6,28,5.6475,99.639,149.405,4.9912,2.0035,1.310,0.2359
6YDY_K73,0,5,6,28,5.4604,98.889,149.621,4.7966,1.8873,1.573,0.2515
6YDY_K73,0,6,6,28,5.2602,97.937,149.784,4.5944,1.7741,1.594,0.2542
