arm,nfe,complex,n,basis_mixed,basis_f24,n_cl0.5,elim0.5,weg0.5,n_cl1.0,elim1.0,weg1.0
SigmaDock,25,6YSP_PAL,40,True,True,7,True,mehrere,2,True,mehrere
SigmaDock,25,6YT6_PKE,40,False,False,1,False,ein Cluster,3,True,mehrere
SigmaDock,25,6YYO_Q1K,40,True,True,6,True,mehrere,9,True,mehrere
SigmaDock,25,6Z0R_Q4H,40,True,True,4,True,mehrere,6,True,mehrere
SigmaDock,25,6Z14_Q4Z,40,True,True,3,True,mehrere,0,True,Rueckfall
SigmaDock,25,6Z1C_7EY,40,True,True,2,True,mehrere,2,True,mehrere
SigmaDock,25,6Z2C_Q5E,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,6Z4N_Q7B,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,6ZAE_ACV,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,6ZC3_JOR,40,True,True,5,True,mehrere,10,True,mehrere
SigmaDock,25,6ZCY_QF8,40,True,True,6,True,mehrere,3,True,mehrere
SigmaDock,25,6ZK5_IMH,40,False,False,2,False,mehrere,0,False,Rueckfall
SigmaDock,25,6ZPB_3D1,40,False,False,1,False,ein Cluster,2,False,mehrere
SigmaDock,25,7A1P_QW2,40,True,True,2,True,mehrere,1,True,ein Cluster
SigmaDock,25,7A9E_R4W,40,False,False,4,True,mehrere,10,False,mehrere
SigmaDock,25,7A9H_TPP,40,True,True,1,True,ein Cluster,4,True,mehrere
SigmaDock,25,7AFX_R9K,40,True,True,6,True,mehrere,6,True,mehrere
SigmaDock,25,7AKL_RK5,40,True,True,5,True,mehrere,2,True,mehrere
SigmaDock,25,7AN5_RDH,40,False,False,2,False,mehrere,0,False,Rueckfall
SigmaDock,25,7B2C_TP7,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7B94_ANP,40,True,True,1,True,ein Cluster,0,True,Rueckfall
SigmaDock,25,7BCP_GCO,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7BJJ_TVW,40,True,True,7,False,mehrere,4,False,mehrere
SigmaDock,25,7BKA_4JC,40,False,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7BMI_U4B,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7BNH_BEZ,40,True,True,1,True,ein Cluster,2,True,mehrere
SigmaDock,25,7BTT_F8R,40,True,True,0,True,Rueckfall,3,True,mehrere
SigmaDock,25,7C0U_FGO,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7C3U_AZG,40,False,False,4,False,mehrere,1,False,ein Cluster
SigmaDock,25,7C8Q_DSG,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7CD9_FVR,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7CIJ_G0C,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7CL8_TES,40,True,True,5,True,mehrere,1,True,ein Cluster
SigmaDock,25,7CNQ_G8X,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7CNS_PMV,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7CTM_BDP,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7CUO_PHB,40,True,True,5,True,mehrere,4,True,mehrere
SigmaDock,25,7D5C_GV6,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7D6O_MTE,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7DKT_GLF,40,True,True,2,True,mehrere,1,True,ein Cluster
SigmaDock,25,7DQL_4CL,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7DUA_HJ0,40,True,True,5,True,mehrere,3,True,mehrere
SigmaDock,25,7E4L_MDN,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7EBG_J0L,40,True,True,3,True,mehrere,1,True,ein Cluster
SigmaDock,25,7ECR_SIN,40,True,True,3,True,mehrere,1,True,ein Cluster
SigmaDock,25,7ED2_A3P,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7ELT_TYM,40,True,True,0,True,Rueckfall,1,True,ein Cluster
SigmaDock,25,7EPV_FDA,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7ES1_UDP,40,True,True,5,True,mehrere,1,True,ein Cluster
SigmaDock,25,7F51_BA7,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7F5D_EUO,40,True,True,3,False,mehrere,9,False,mehrere
SigmaDock,25,7F8T_FAD,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7FB7_8NF,40,True,True,3,True,mehrere,2,True,mehrere
SigmaDock,25,7FHA_ADX,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7FRX_O88,40,False,False,0,False,Rueckfall,2,True,mehrere
SigmaDock,25,7FT9_4MB,40,True,True,2,False,mehrere,10,True,mehrere
SigmaDock,25,7JG0_GAR,40,True,True,2,True,mehrere,10,True,mehrere
SigmaDock,25,7JHQ_VAJ,40,True,True,0,True,Rueckfall,1,True,ein Cluster
SigmaDock,25,7JMV_4NC,40,True,True,2,True,mehrere,0,True,Rueckfall
SigmaDock,25,7JXX_VP7,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7JY3_VUD,40,False,False,2,False,mehrere,7,False,mehrere
SigmaDock,25,7K0V_VQP,40,True,True,9,True,mehrere,2,True,mehrere
SigmaDock,25,7KB1_WBJ,40,True,True,1,True,ein Cluster,1,True,ein Cluster
SigmaDock,25,7KC5_BJZ,40,True,True,3,True,mehrere,7,True,mehrere
SigmaDock,25,7KM8_WPD,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7KQU_YOF,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7KRU_ATP,40,True,True,1,True,ein Cluster,0,True,Rueckfall
SigmaDock,25,7KZ9_XN7,40,False,False,3,True,mehrere,5,False,mehrere
SigmaDock,25,7L00_XCJ,40,False,True,1,True,ein Cluster,3,True,mehrere
SigmaDock,25,7L03_F9F,40,True,True,3,True,mehrere,7,True,mehrere
SigmaDock,25,7L5F_XNG,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7L7C_XQ1,40,True,True,8,True,mehrere,5,True,mehrere
SigmaDock,25,7LCU_XTA,40,False,False,0,False,Rueckfall,1,False,ein Cluster
SigmaDock,25,7LEV_0JO,40,True,True,2,False,mehrere,4,True,mehrere
SigmaDock,25,7LJN_GTP,40,False,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7LMO_NYO,40,True,True,1,False,ein Cluster,2,True,mehrere
SigmaDock,25,7LOE_Y84,40,True,True,5,True,mehrere,4,True,mehrere
SigmaDock,25,7LOU_IFM,40,True,True,2,True,mehrere,1,False,ein Cluster
SigmaDock,25,7LT0_ONJ,40,True,True,2,True,mehrere,0,True,Rueckfall
SigmaDock,25,7LZD_YHY,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7M31_TDR,40,True,True,2,True,mehrere,1,True,ein Cluster
SigmaDock,25,7M3H_YPV,40,True,True,1,True,ein Cluster,9,True,mehrere
SigmaDock,25,7M6K_YRJ,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7MFP_Z7P,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7MGT_ZD4,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7MGY_ZD1,40,True,True,1,True,ein Cluster,0,True,Rueckfall
SigmaDock,25,7MMH_ZJY,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7MOI_HPS,40,True,True,9,True,mehrere,8,True,mehrere
SigmaDock,25,7MSR_DCA,40,False,False,0,False,Rueckfall,1,False,ein Cluster
SigmaDock,25,7MWN_WI5,40,False,False,0,False,Rueckfall,1,False,ein Cluster
SigmaDock,25,7MWU_ZPM,40,True,True,0,True,Rueckfall,1,True,ein Cluster
SigmaDock,25,7MY1_IPE,40,False,False,0,False,Rueckfall,3,False,mehrere
SigmaDock,25,7MYU_ZR7,40,True,True,5,True,mehrere,1,True,ein Cluster
SigmaDock,25,7N03_ZRP,40,True,True,1,True,ein Cluster,5,True,mehrere
SigmaDock,25,7N4N_0BK,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7N4W_P4V,40,True,True,1,True,ein Cluster,0,True,Rueckfall
SigmaDock,25,7N6F_0I1,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7N7B_T3F,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7N7H_CTP,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7NF0_BYN,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7NF3_4LU,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7NFB_GEN,40,True,True,2,True,mehrere,2,True,mehrere
SigmaDock,25,7NGW_UAW,40,False,False,7,False,mehrere,3,False,mehrere
SigmaDock,25,7NLV_UJE,40,True,True,6,True,mehrere,1,True,ein Cluster
SigmaDock,25,7NP6_UK8,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7NPL_UKZ,40,True,True,4,True,mehrere,1,False,ein Cluster
SigmaDock,25,7NR8_UOE,40,True,True,0,True,Rueckfall,3,True,mehrere
SigmaDock,25,7NSW_HC4,40,True,True,9,True,mehrere,1,True,ein Cluster
SigmaDock,25,7NU0_DCL,40,True,True,3,True,mehrere,0,True,Rueckfall
SigmaDock,25,7NUT_GLP,40,False,False,0,False,Rueckfall,1,False,ein Cluster
SigmaDock,25,7NXO_UU8,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7O0N_CDP,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7O1T_5X8,40,True,True,0,True,Rueckfall,1,True,ein Cluster
SigmaDock,25,7ODY_DGI,40,True,True,2,True,mehrere,0,True,Rueckfall
SigmaDock,25,7OEO_V9Z,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7OFF_VCB,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7OFK_VCH,40,False,True,0,True,Rueckfall,2,True,mehrere
SigmaDock,25,7OLI_8HG,40,True,True,4,True,mehrere,1,False,ein Cluster
SigmaDock,25,7OMX_CNA,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7OP9_06K,40,False,False,3,False,mehrere,3,False,mehrere
SigmaDock,25,7OPG_06N,40,True,True,0,True,Rueckfall,1,True,ein Cluster
SigmaDock,25,7OSO_0V1,40,False,False,1,True,ein Cluster,10,True,mehrere
SigmaDock,25,7OZ9_NGK,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7OZC_G6S,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7P1F_KFN,40,True,True,3,True,mehrere,5,True,mehrere
SigmaDock,25,7P1M_4IU,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7P2I_MFU,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7P4C_5OV,40,True,True,2,True,mehrere,1,True,ein Cluster
SigmaDock,25,7P5T_5YG,40,True,True,0,True,Rueckfall,5,True,mehrere
SigmaDock,25,7PGX_FMN,40,False,False,0,False,Rueckfall,1,True,ein Cluster
SigmaDock,25,7PIH_7QW,40,False,False,5,True,mehrere,4,False,mehrere
SigmaDock,25,7PJQ_OWH,40,False,False,1,True,ein Cluster,0,False,Rueckfall
SigmaDock,25,7PK0_BYC,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7PL1_SFG,40,True,True,1,True,ein Cluster,1,True,ein Cluster
SigmaDock,25,7POM_7VZ,40,True,True,7,True,mehrere,1,True,ein Cluster
SigmaDock,25,7PRI_7TI,40,True,True,0,True,Rueckfall,1,True,ein Cluster
SigmaDock,25,7PRM_81I,40,True,True,5,True,mehrere,6,True,mehrere
SigmaDock,25,7PT3_3KK,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7PUV_84Z,40,True,True,7,True,mehrere,7,True,mehrere
SigmaDock,25,7Q25_8J9,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7Q27_8KC,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7Q2B_M6H,40,True,True,6,True,mehrere,0,True,Rueckfall
SigmaDock,25,7Q5I_I0F,40,True,True,1,True,ein Cluster,0,True,Rueckfall
SigmaDock,25,7QE4_NGA,40,True,True,1,False,ein Cluster,6,True,mehrere
SigmaDock,25,7QF4_RBF,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7QFM_AY3,40,True,True,3,True,mehrere,2,True,mehrere
SigmaDock,25,7QGP_DJ8,40,True,True,6,True,mehrere,3,True,mehrere
SigmaDock,25,7QHG_T3B,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7QHL_D5P,40,True,True,3,True,mehrere,4,True,mehrere
SigmaDock,25,7QPP_VDX,40,True,True,1,True,ein Cluster,0,True,Rueckfall
SigmaDock,25,7QTA_URI,40,True,True,0,True,Rueckfall,1,False,ein Cluster
SigmaDock,25,7R3D_APR,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7R59_I5F,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7R6J_2I7,40,False,False,0,False,Rueckfall,1,False,ein Cluster
SigmaDock,25,7R7R_AWJ,40,True,True,1,True,ein Cluster,0,True,Rueckfall
SigmaDock,25,7R9N_F97,40,True,True,3,True,mehrere,11,True,mehrere
SigmaDock,25,7RC3_SAH,40,True,True,2,True,mehrere,0,True,Rueckfall
SigmaDock,25,7RH3_59O,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7RKW_5TV,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7RNI_60I,40,False,False,0,False,Rueckfall,1,True,ein Cluster
SigmaDock,25,7ROR_69X,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7ROU_66I,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7RSV_7IQ,40,True,True,5,True,mehrere,2,True,mehrere
SigmaDock,25,7RWS_4UR,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7RZL_NPO,40,False,False,3,False,mehrere,1,False,ein Cluster
SigmaDock,25,7SCW_GSP,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7SDD_4IP,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7SFO_98L,40,False,False,2,False,mehrere,0,False,Rueckfall
SigmaDock,25,7SIU_9ID,40,True,True,1,True,ein Cluster,6,True,mehrere
SigmaDock,25,7SUC_COM,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7SZA_DUI,40,True,True,1,True,ein Cluster,0,True,Rueckfall
SigmaDock,25,7T0D_FPP,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7T1D_E7K,40,True,True,4,True,mehrere,5,True,mehrere
SigmaDock,25,7T3E_SLB,40,True,True,1,True,ein Cluster,2,True,mehrere
SigmaDock,25,7TB0_UD1,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7TBU_S3P,40,True,True,2,True,mehrere,3,True,mehrere
SigmaDock,25,7TE8_P0T,40,False,False,2,False,mehrere,2,False,mehrere
SigmaDock,25,7TH4_FFO,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7THI_PGA,40,False,False,4,False,mehrere,8,False,mehrere
SigmaDock,25,7TM6_GPJ,40,False,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7TOM_5AD,40,True,True,2,True,mehrere,0,True,Rueckfall
SigmaDock,25,7TS6_KMI,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7TSF_H4B,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7TUO_KL9,40,True,True,1,True,ein Cluster,1,True,ein Cluster
SigmaDock,25,7TXK_LW8,40,True,True,2,True,mehrere,2,True,mehrere
SigmaDock,25,7TYP_KUR,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7U0U_FK5,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7U3J_L6U,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7UAS_MBU,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7UAW_MF6,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7UJ4_OQ4,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7UJ5_DGL,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7UJF_R3V,40,True,True,4,True,mehrere,3,True,mehrere
SigmaDock,25,7ULC_56B,40,True,True,0,True,Rueckfall,1,True,ein Cluster
SigmaDock,25,7UMW_NAD,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7UQ3_O2U,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7USH_82V,40,True,True,6,True,mehrere,6,True,mehrere
SigmaDock,25,7UTW_NAI,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7UXS_OJC,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7UY4_SMI,40,False,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7UYB_OK0,40,True,True,0,True,Rueckfall,2,True,mehrere
SigmaDock,25,7V14_ORU,40,True,True,2,True,mehrere,1,True,ein Cluster
SigmaDock,25,7V3N_AKG,40,True,True,3,True,mehrere,1,True,ein Cluster
SigmaDock,25,7V3S_5I9,40,True,True,5,True,mehrere,0,True,Rueckfall
SigmaDock,25,7V43_C4O,40,True,True,10,True,mehrere,8,False,mehrere
SigmaDock,25,7VB8_STL,40,False,False,10,True,mehrere,6,True,mehrere
SigmaDock,25,7VBU_6I4,40,True,True,9,True,mehrere,3,True,mehrere
SigmaDock,25,7VC5_9SF,40,True,True,6,True,mehrere,4,True,mehrere
SigmaDock,25,7VKZ_NOJ,40,True,True,5,True,mehrere,2,True,mehrere
SigmaDock,25,7VQ9_ISY,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7VWF_K55,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7VYJ_CA0,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7W05_GMP,40,True,True,1,True,ein Cluster,2,True,mehrere
SigmaDock,25,7W06_ITN,40,True,True,1,True,ein Cluster,4,True,mehrere
SigmaDock,25,7WCF_ACP,40,True,True,0,True,Rueckfall,2,True,mehrere
SigmaDock,25,7WDT_NGS,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7WJB_BGC,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7WKL_CAQ,40,True,True,1,True,ein Cluster,1,True,ein Cluster
SigmaDock,25,7WL4_JFU,40,True,True,2,False,mehrere,3,True,mehrere
SigmaDock,25,7WPW_F15,40,True,True,0,True,Rueckfall,5,True,mehrere
SigmaDock,25,7WQQ_5Z6,40,True,True,4,True,mehrere,10,True,mehrere
SigmaDock,25,7WUX_6OI,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7WUY_76N,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7WY1_D0L,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7X5N_5M5,40,True,True,2,False,mehrere,1,False,ein Cluster
SigmaDock,25,7X9K_8OG,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7XBV_APC,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7XFA_D9J,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,7XG5_PLP,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7XI7_4RI,40,True,True,2,True,mehrere,4,True,mehrere
SigmaDock,25,7XJN_NSD,40,True,True,0,True,Rueckfall,2,True,mehrere
SigmaDock,25,7XQZ_FPF,40,True,True,0,True,Rueckfall,1,True,ein Cluster
SigmaDock,25,7XRL_FWK,40,False,False,0,False,Rueckfall,3,False,mehrere
SigmaDock,25,7YZU_DO7,40,True,True,2,True,mehrere,1,True,ein Cluster
SigmaDock,25,7Z1Q_NIO,40,True,True,11,True,mehrere,8,True,mehrere
SigmaDock,25,7Z2O_IAJ,40,False,False,6,False,mehrere,2,False,mehrere
SigmaDock,25,7Z7F_IF3,40,True,True,3,True,mehrere,2,False,mehrere
SigmaDock,25,7ZCC_OGA,40,True,True,4,True,mehrere,0,True,Rueckfall
SigmaDock,25,7ZDY_6MJ,40,True,True,2,True,mehrere,1,True,ein Cluster
SigmaDock,25,7ZF0_DHR,40,False,True,1,True,ein Cluster,1,True,ein Cluster
SigmaDock,25,7ZHP_IQY,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,7ZL5_IWE,40,True,True,5,True,mehrere,2,True,mehrere
SigmaDock,25,7ZOC_T8E,40,True,True,7,True,mehrere,5,True,mehrere
SigmaDock,25,7ZTL_BCN,40,False,False,0,False,Rueckfall,1,False,ein Cluster
SigmaDock,25,7ZU2_DHT,40,True,True,3,True,mehrere,2,True,mehrere
SigmaDock,25,7ZXV_45D,35,False,True,0,True,Rueckfall,1,True,ein Cluster
SigmaDock,25,7ZZW_KKW,40,False,False,1,False,ein Cluster,1,False,ein Cluster
SigmaDock,25,8A1H_DLZ,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,8A2D_KXY,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,8AAU_LH0,40,True,True,1,True,ein Cluster,1,True,ein Cluster
SigmaDock,25,8AEM_LVF,40,True,True,7,True,mehrere,4,True,mehrere
SigmaDock,25,8AIE_M7L,40,True,True,0,True,Rueckfall,1,False,ein Cluster
SigmaDock,25,8AP0_PRP,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,8AQL_PLG,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,8AUH_L9I,40,False,False,0,False,Rueckfall,2,True,mehrere
SigmaDock,25,8AY3_OE3,40,True,True,2,False,mehrere,1,False,ein Cluster
SigmaDock,25,8B8H_OJQ,40,True,True,4,True,mehrere,3,True,mehrere
SigmaDock,25,8BOM_QU6,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,8BTI_RFO,40,True,True,6,True,mehrere,2,True,mehrere
SigmaDock,25,8C3N_ADP,40,True,True,1,True,ein Cluster,2,False,mehrere
SigmaDock,25,8C5M_MTA,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,8CNH_V6U,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,8CSD_C5P,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,8D19_GSH,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,8D39_QDB,40,True,True,1,True,ein Cluster,1,True,ein Cluster
SigmaDock,25,8D5D_5DK,40,False,False,0,False,Rueckfall,1,False,ein Cluster
SigmaDock,25,8DHG_T78,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,8DKO_TFB,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,8DP2_UMA,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,8DSC_NCA,40,True,True,10,True,mehrere,10,True,mehrere
SigmaDock,25,8EAB_VN2,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,8EX2_Q2Q,40,True,True,9,True,mehrere,3,True,mehrere
SigmaDock,25,8EXL_799,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,8EYE_X4I,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,8F4J_PHO,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,8F8E_XJI,40,True,True,2,True,mehrere,3,True,mehrere
SigmaDock,25,8FAV_4Y5,40,True,True,9,True,mehrere,5,True,mehrere
SigmaDock,25,8FLV_ZB9,40,True,True,6,True,mehrere,6,True,mehrere
SigmaDock,25,8FO5_Y4U,40,True,True,8,True,mehrere,7,True,mehrere
SigmaDock,25,8G0V_YHT,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,8G6P_API,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,8GFD_ZHR,40,False,False,0,False,Rueckfall,2,False,mehrere
SigmaDock,25,8HFN_XGC,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,8HO0_3ZI,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,8SLG_G5A,40,True,True,0,True,Rueckfall,0,True,Rueckfall
Minimal,25,5SAK_ZRY,40,True,True,8,True,mehrere,1,True,ein Cluster
Minimal,25,5SB2_1K2,40,True,True,3,True,mehrere,1,True,ein Cluster
Minimal,25,5SD5_HWI,40,False,False,0,False,Rueckfall,0,False,Rueckfall
