complex,arm,wahl_im_groessten,wahl_modusgroesse,groesster_anteil,wahl_trifft,n_moden
6XG5_TOP,Separate,True,0.4,0.4,True,8
6XHT_V2V,SigmaDock,True,0.925,0.925,True,3
6XHT_V2V,Minimal,True,0.35,0.35,True,22
6XHT_V2V,Separate,True,0.5,0.5,True,15
6XM9_V55,SigmaDock,False,0.05,0.825,False,3
6XM9_V55,Minimal,False,0.275,0.375,True,5
6XM9_V55,Separate,True,0.325,0.325,True,7
6YJA_2BA,SigmaDock,False,0.05,0.1,False,27
6YJA_2BA,Minimal,False,0.025,0.075,False,34
6YJA_2BA,Separate,False,0.024390243902439025,0.04878048780487805,False,40
6YMS_OZH,SigmaDock,False,0.075,0.225,False,21
6YMS_OZH,Minimal,False,0.05,0.075,True,27
6YMS_OZH,Separate,False,0.025,0.1,False,28
6YQV_8K2,SigmaDock,True,0.975609756097561,0.975609756097561,True,2
6YQV_8K2,Minimal,False,0.4878048780487805,0.5121951219512195,True,2
6YQV_8K2,Separate,False,0.375,0.625,True,2
6YQW_82I,SigmaDock,False,0.275,0.4,True,4
6YQW_82I,Minimal,True,0.425,0.425,True,6
6YQW_82I,Separate,True,0.45,0.45,True,4
6YR2_T1C,SigmaDock,True,0.25,0.25,True,17
6YR2_T1C,Minimal,True,0.175,0.175,True,24
6YR2_T1C,Separate,False,0.15,0.15,True,24
6YRV_PJ8,SigmaDock,False,0.375,0.475,True,6
6YRV_PJ8,Minimal,True,0.375,0.375,True,9
6YRV_PJ8,Separate,True,0.325,0.325,True,16
6YSP_PAL,SigmaDock,True,1.0,1.0,True,1
6YSP_PAL,Minimal,True,0.95,0.95,True,2
6YSP_PAL,Separate,True,0.95,0.95,True,2
6YT6_PKE,SigmaDock,True,0.4634146341463415,0.4634146341463415,False,4
6YT6_PKE,Minimal,False,0.0975609756097561,0.4146341463414634,False,9
6YT6_PKE,Separate,True,0.6,0.6,True,4
6YYO_Q1K,SigmaDock,True,0.8292682926829268,0.8292682926829268,True,2
6YYO_Q1K,Minimal,True,0.4146341463414634,0.4146341463414634,True,6
6YYO_Q1K,Separate,True,0.4146341463414634,0.4146341463414634,True,4
6Z0R_Q4H,SigmaDock,False,0.14634146341463414,0.3902439024390244,True,6
6Z0R_Q4H,Minimal,True,0.3902439024390244,0.3902439024390244,True,7
6Z0R_Q4H,Separate,True,0.6,0.6,True,5
6Z14_Q4Z,SigmaDock,True,0.925,0.925,True,2
6Z14_Q4Z,Minimal,True,0.775,0.775,True,7
6Z14_Q4Z,Separate,True,0.875,0.875,True,2
6Z1C_7EY,SigmaDock,True,0.85,0.85,True,2
6Z1C_7EY,Minimal,True,0.7,0.7,True,4
6Z1C_7EY,Separate,True,0.7,0.7,True,7
6Z2C_Q5E,SigmaDock,True,0.6,0.6,True,9
6Z2C_Q5E,Minimal,True,0.225,0.225,True,23
6Z2C_Q5E,Separate,True,0.275,0.275,True,14
6Z4N_Q7B,SigmaDock,False,0.15,0.375,False,11
6Z4N_Q7B,Minimal,False,0.1,0.175,False,19
6Z4N_Q7B,Separate,False,0.025,0.175,False,19
6ZAE_ACV,SigmaDock,True,0.275,0.275,False,11
6ZAE_ACV,Minimal,False,0.025,0.15,True,20
6ZAE_ACV,Separate,False,0.025,0.175,False,25
6ZC3_JOR,SigmaDock,True,0.43902439024390244,0.43902439024390244,True,4
6ZC3_JOR,Minimal,True,0.5609756097560976,0.5609756097560976,True,9
6ZC3_JOR,Separate,True,0.4,0.4,True,13
6ZCY_QF8,SigmaDock,True,0.5121951219512195,0.5121951219512195,True,8
6ZCY_QF8,Minimal,True,0.4878048780487805,0.4878048780487805,True,11
6ZCY_QF8,Separate,True,0.625,0.625,True,8
6ZK5_IMH,SigmaDock,False,0.275,0.7,False,3
6ZK5_IMH,Minimal,True,0.475,0.475,False,4
6ZK5_IMH,Separate,True,0.45,0.45,True,5
6ZPB_3D1,SigmaDock,True,0.45,0.45,False,3
6ZPB_3D1,Minimal,False,0.225,0.525,True,6
6ZPB_3D1,Separate,True,0.75,0.75,True,2
7A1P_QW2,SigmaDock,True,0.45,0.45,True,4
7A1P_QW2,Minimal,True,0.35,0.35,True,8
7A1P_QW2,Separate,False,0.36585365853658536,0.5121951219512195,True,4
7A9E_R4W,SigmaDock,True,0.575,0.575,False,5
7A9E_R4W,Minimal,True,0.425,0.425,False,5
7A9E_R4W,Separate,True,0.525,0.525,False,7
7A9H_TPP,SigmaDock,True,0.85,0.85,True,4
7A9H_TPP,Minimal,True,0.525,0.525,True,6
7A9H_TPP,Separate,False,0.275,0.45,True,10
7AFX_R9K,SigmaDock,True,0.675,0.675,True,5
7AFX_R9K,Minimal,True,0.35,0.35,True,9
7AFX_R9K,Separate,True,0.2,0.2,True,10
7AKL_RK5,SigmaDock,True,0.9024390243902439,0.9024390243902439,True,3
7AKL_RK5,Minimal,True,0.2926829268292683,0.2926829268292683,True,6
7AKL_RK5,Separate,True,0.625,0.625,True,5
7AN5_RDH,SigmaDock,True,0.525,0.525,False,4
7AN5_RDH,Minimal,False,0.45,0.5,True,4
7AN5_RDH,Separate,True,0.75,0.75,False,2
7B2C_TP7,SigmaDock,True,0.6097560975609756,0.6097560975609756,True,5
7B2C_TP7,Minimal,False,0.21951219512195122,0.24390243902439024,False,9
7B2C_TP7,Separate,True,0.8048780487804879,0.8048780487804879,True,6
7B94_ANP,SigmaDock,True,1.0,1.0,True,1
7B94_ANP,Minimal,True,0.525,0.525,True,6
7B94_ANP,Separate,True,0.725,0.725,True,7
7BCP_GCO,SigmaDock,True,0.65,0.65,True,3
7BCP_GCO,Minimal,False,0.05,0.5,False,5
7BCP_GCO,Separate,False,0.3,0.525,True,5
7BJJ_TVW,SigmaDock,False,0.175,0.375,True,4
7BJJ_TVW,Minimal,False,0.2,0.275,True,7
7BJJ_TVW,Separate,True,0.375,0.375,True,6
7BKA_4JC,SigmaDock,True,1.0,1.0,True,1
7BKA_4JC,Minimal,True,1.0,1.0,True,1
7BKA_4JC,Separate,True,0.8048780487804879,0.8048780487804879,True,6
7BMI_U4B,SigmaDock,True,0.325,0.325,True,4
7BMI_U4B,Minimal,True,0.475,0.475,True,5
7BMI_U4B,Separate,True,0.4,0.4,True,5
7BNH_BEZ,SigmaDock,False,0.275,0.5,True,5
7BNH_BEZ,Minimal,True,0.35,0.35,True,6
7BNH_BEZ,Separate,False,0.36585365853658536,0.36585365853658536,True,7
7BTT_F8R,SigmaDock,True,0.35,0.35,True,16
7BTT_F8R,Minimal,True,0.25,0.25,True,19
7BTT_F8R,Separate,True,0.475,0.475,True,13
7C0U_FGO,SigmaDock,True,0.3,0.3,False,15
7C0U_FGO,Minimal,False,0.075,0.075,True,31
7C0U_FGO,Separate,True,0.125,0.125,False,27
7C3U_AZG,SigmaDock,False,0.07317073170731707,0.5609756097560976,False,5
7C3U_AZG,Minimal,False,0.21951219512195122,0.5365853658536586,False,3
7C3U_AZG,Separate,False,0.2,0.45,False,4
7C8Q_DSG,SigmaDock,False,0.475,0.525,True,2
7C8Q_DSG,Minimal,True,0.7,0.7,True,4
7C8Q_DSG,Separate,True,0.5,0.5,False,5
7CD9_FVR,SigmaDock,False,0.1,0.275,False,19
7CD9_FVR,Minimal,True,0.2,0.2,False,29
7CD9_FVR,Separate,True,0.2,0.2,False,22
7CIJ_G0C,SigmaDock,False,0.4,0.575,True,3
7CIJ_G0C,Minimal,False,0.1,0.625,True,6
7CIJ_G0C,Separate,False,0.4,0.525,True,5
7CL8_TES,SigmaDock,True,0.6,0.6,True,4
7CL8_TES,Minimal,False,0.1,0.4,True,5
7CL8_TES,Separate,False,0.07317073170731707,0.4878048780487805,True,4
7CNQ_G8X,SigmaDock,True,0.975,0.975,True,2
7CNQ_G8X,Minimal,False,0.45,0.55,True,2
7CNQ_G8X,Separate,False,0.5,0.5,True,2
7CNS_PMV,SigmaDock,True,0.975,0.975,False,2
7CNS_PMV,Minimal,True,0.8,0.8,False,4
7CNS_PMV,Separate,True,0.775,0.775,False,6
7CTM_BDP,SigmaDock,False,0.05,0.35,False,10
7CTM_BDP,Minimal,True,0.3,0.3,True,9
7CTM_BDP,Separate,False,0.225,0.325,False,9
7CUO_PHB,SigmaDock,True,1.0,1.0,True,1
7CUO_PHB,Minimal,True,0.975,0.975,True,2
7CUO_PHB,Separate,True,1.0,1.0,True,1
7D5C_GV6,SigmaDock,True,0.875,0.875,True,3
7D5C_GV6,Minimal,True,0.45,0.45,True,6
7D5C_GV6,Separate,True,0.45,0.45,True,11
7D6O_MTE,SigmaDock,False,0.1951219512195122,0.6341463414634146,True,6
7D6O_MTE,Minimal,False,0.34146341463414637,0.3902439024390244,True,7
7D6O_MTE,Separate,True,0.525,0.525,True,9
7DKT_GLF,SigmaDock,True,0.85,0.85,True,2
7DKT_GLF,Minimal,True,0.575,0.575,True,5
7DKT_GLF,Separate,True,0.8,0.8,True,4
7DQL_4CL,SigmaDock,True,0.575,0.575,False,3
7DQL_4CL,Minimal,True,0.475,0.475,False,5
7DQL_4CL,Separate,True,0.4878048780487805,0.4878048780487805,False,4
7DUA_HJ0,SigmaDock,True,0.975609756097561,0.975609756097561,True,2
7DUA_HJ0,Minimal,True,0.7073170731707317,0.7073170731707317,True,7
7DUA_HJ0,Separate,True,0.9,0.9,True,5
7E4L_MDN,SigmaDock,False,0.075,0.175,True,16
7E4L_MDN,Minimal,False,0.075,0.125,True,20
7E4L_MDN,Separate,False,0.075,0.1,True,18
7EBG_J0L,SigmaDock,False,0.2,0.8,True,2
7EBG_J0L,Minimal,False,0.1,0.65,True,5
7EBG_J0L,Separate,False,0.4878048780487805,0.4878048780487805,True,3
7ECR_SIN,SigmaDock,True,0.575,0.575,True,3
7ECR_SIN,Minimal,True,0.6,0.6,True,2
7ECR_SIN,Separate,True,0.575,0.575,True,2
7ED2_A3P,SigmaDock,False,0.15,0.225,True,11
7ED2_A3P,Minimal,False,0.225,0.275,True,10
7ED2_A3P,Separate,True,0.275,0.275,True,14
7ELT_TYM,SigmaDock,False,0.25,0.625,True,4
7ELT_TYM,Minimal,True,0.425,0.425,True,7
7ELT_TYM,Separate,True,0.625,0.625,True,6
7EPV_FDA,SigmaDock,False,0.1,0.15,False,19
7EPV_FDA,Minimal,False,0.025,0.075,False,33
7EPV_FDA,Separate,False,0.025,0.075,False,34
7ES1_UDP,SigmaDock,True,0.85,0.85,True,4
7ES1_UDP,Minimal,True,0.7,0.7,False,6
7ES1_UDP,Separate,True,0.875,0.875,True,5
7F51_BA7,SigmaDock,True,1.0,1.0,True,1
7F51_BA7,Minimal,True,0.25,0.25,True,13
7F51_BA7,Separate,True,0.65,0.65,True,9
7F5D_EUO,SigmaDock,False,0.075,0.525,True,8
7F5D_EUO,Minimal,True,0.35,0.35,False,11
7F5D_EUO,Separate,True,0.525,0.525,False,13
7F8T_FAD,SigmaDock,False,0.025,0.075,False,29
7F8T_FAD,Minimal,False,0.025,0.025,False,40
7F8T_FAD,Separate,False,0.025,0.05,False,37
7FB7_8NF,SigmaDock,False,0.17073170731707318,0.5609756097560976,True,4
7FB7_8NF,Minimal,True,0.36585365853658536,0.36585365853658536,True,6
7FB7_8NF,Separate,True,0.45,0.45,True,6
7FHA_ADX,SigmaDock,True,0.75,0.75,True,2
7FHA_ADX,Minimal,True,0.55,0.55,True,7
7FHA_ADX,Separate,True,0.43902439024390244,0.43902439024390244,True,12
7FRX_O88,SigmaDock,False,0.15,0.3,False,10
7FRX_O88,Minimal,False,0.075,0.15,True,15
7FRX_O88,Separate,False,0.125,0.225,True,14
7FT9_4MB,SigmaDock,False,0.35,0.625,True,3
7FT9_4MB,Minimal,False,0.25,0.325,True,9
7FT9_4MB,Separate,True,0.4,0.4,True,8
7JG0_GAR,SigmaDock,True,0.925,0.925,True,3
7JG0_GAR,Minimal,False,0.225,0.525,True,7
7JG0_GAR,Separate,True,0.775,0.775,True,7
7JHQ_VAJ,SigmaDock,True,0.475,0.475,True,4
7JHQ_VAJ,Minimal,True,0.425,0.425,True,9
7JHQ_VAJ,Separate,False,0.15,0.45,False,4
7JMV_4NC,SigmaDock,True,0.375,0.375,True,4
7JMV_4NC,Minimal,True,0.5,0.5,True,6
7JMV_4NC,Separate,True,0.675,0.675,True,3
7JXX_VP7,SigmaDock,True,0.8,0.8,True,5
7JXX_VP7,Minimal,True,0.5,0.5,True,13
7JXX_VP7,Separate,True,0.725,0.725,True,6
7JY3_VUD,SigmaDock,False,0.2,0.2,False,14
7JY3_VUD,Minimal,True,0.25,0.25,False,21
7JY3_VUD,Separate,False,0.1,0.175,True,26
7K0V_VQP,SigmaDock,True,1.0,1.0,True,1
7K0V_VQP,Minimal,True,0.5,0.5,True,3
7K0V_VQP,Separate,False,0.35,0.65,True,2
7KB1_WBJ,SigmaDock,True,0.7,0.7,True,3
7KB1_WBJ,Minimal,True,0.875,0.875,True,4
7KB1_WBJ,Separate,True,0.825,0.825,True,4
7KC5_BJZ,SigmaDock,True,0.925,0.925,True,3
7KC5_BJZ,Minimal,False,0.3,0.4,True,12
7KC5_BJZ,Separate,False,0.225,0.475,True,11
7KM8_WPD,SigmaDock,True,0.6,0.6,True,3
7KM8_WPD,Minimal,False,0.15,0.25,True,10
7KM8_WPD,Separate,True,0.475,0.475,True,7
7KQU_YOF,SigmaDock,False,0.4,0.6,True,2
7KQU_YOF,Minimal,False,0.325,0.45,True,4
7KQU_YOF,Separate,False,0.475,0.5,True,3
7KRU_ATP,SigmaDock,True,1.0,1.0,True,1
7KRU_ATP,Minimal,True,0.975,0.975,True,2
7KRU_ATP,Separate,True,0.65,0.65,True,5
7KZ9_XN7,SigmaDock,False,0.45,0.55,False,2
7KZ9_XN7,Minimal,True,0.65,0.65,True,3
7KZ9_XN7,Separate,True,0.6,0.6,False,2
7L00_XCJ,SigmaDock,True,0.42857142857142855,0.42857142857142855,True,3
7L00_XCJ,Minimal,True,0.2857142857142857,0.2857142857142857,True,15
7L00_XCJ,Separate,True,0.5,0.5,True,8
7L03_F9F,SigmaDock,True,1.0,1.0,True,1
7L03_F9F,Minimal,True,1.0,1.0,True,1
7L03_F9F,Separate,True,1.0,1.0,True,1
7L5F_XNG,SigmaDock,True,0.85,0.85,False,3
7L5F_XNG,Minimal,True,0.55,0.55,False,10
7L5F_XNG,Separate,False,0.25,0.275,False,15
7L7C_XQ1,SigmaDock,True,0.675,0.675,True,6
7L7C_XQ1,Minimal,False,0.225,0.4,True,4
7L7C_XQ1,Separate,True,0.575,0.575,True,3
7LCU_XTA,SigmaDock,True,0.3902439024390244,0.3902439024390244,False,6
7LCU_XTA,Minimal,False,0.12195121951219512,0.21951219512195122,False,14
7LCU_XTA,Separate,False,0.25,0.35,True,15
7LEV_0JO,SigmaDock,True,0.6,0.6,True,2
7LEV_0JO,Minimal,True,0.5,0.5,True,5
7LEV_0JO,Separate,True,0.375,0.375,True,6
7LJN_GTP,SigmaDock,False,0.025,0.35,False,11
7LJN_GTP,Minimal,False,0.2,0.225,True,17
7LJN_GTP,Separate,False,0.05,0.3,True,16
7LMO_NYO,SigmaDock,False,0.325,0.375,True,8
7LMO_NYO,Minimal,True,0.2,0.2,True,14
7LMO_NYO,Separate,False,0.2,0.25,True,11
7LOE_Y84,SigmaDock,False,0.225,0.3,True,4
7LOE_Y84,Minimal,True,0.375,0.375,True,5
7LOE_Y84,Separate,True,0.3170731707317073,0.3170731707317073,True,5
7LOU_IFM,SigmaDock,True,0.6341463414634146,0.6341463414634146,True,4
7LOU_IFM,Minimal,True,0.21951219512195122,0.21951219512195122,True,7
7LOU_IFM,Separate,True,0.725,0.725,True,6
7LT0_ONJ,SigmaDock,True,0.825,0.825,True,2
7LT0_ONJ,Minimal,True,0.4,0.4,True,13
7LT0_ONJ,Separate,True,0.5609756097560976,0.5609756097560976,True,12
7LZD_YHY,SigmaDock,False,0.05,0.275,True,8
7LZD_YHY,Minimal,False,0.05,0.275,True,17
7LZD_YHY,Separate,True,0.225,0.225,False,11
7M31_TDR,SigmaDock,False,0.25,0.35,True,9
7M31_TDR,Minimal,False,0.25,0.275,True,9
7M31_TDR,Separate,False,0.2682926829268293,0.2682926829268293,True,9
7M3H_YPV,SigmaDock,True,0.5365853658536586,0.5365853658536586,True,4
7M3H_YPV,Minimal,True,0.5121951219512195,0.5121951219512195,True,6
7M3H_YPV,Separate,True,0.55,0.55,True,5
7M6K_YRJ,SigmaDock,False,0.1,0.125,False,18
7M6K_YRJ,Minimal,False,0.05,0.075,False,27
7M6K_YRJ,Separate,False,0.07317073170731707,0.12195121951219512,False,24
7MFP_Z7P,SigmaDock,False,0.05,0.175,False,28
7MFP_Z7P,Minimal,True,0.175,0.175,True,32
7MFP_Z7P,Separate,False,0.025,0.075,False,32
7MGT_ZD4,SigmaDock,False,0.2926829268292683,0.7073170731707317,True,2
7MGT_ZD4,Minimal,True,0.2682926829268293,0.2682926829268293,True,6
7MGT_ZD4,Separate,False,0.34146341463414637,0.4878048780487805,True,6
7MGY_ZD1,SigmaDock,True,0.7,0.7,True,8
7MGY_ZD1,Minimal,False,0.075,0.25,False,12
7MGY_ZD1,Separate,False,0.175,0.375,True,13
7MMH_ZJY,SigmaDock,False,0.025,0.275,False,17
7MMH_ZJY,Minimal,True,0.275,0.275,True,27
7MMH_ZJY,Separate,False,0.15,0.225,True,19
7MOI_HPS,SigmaDock,True,0.925,0.925,True,2
7MOI_HPS,Minimal,True,0.975,0.975,True,2
7MOI_HPS,Separate,True,0.975,0.975,True,2
7MSR_DCA,SigmaDock,True,0.4146341463414634,0.4146341463414634,False,15
7MSR_DCA,Minimal,False,0.07317073170731707,0.0975609756097561,True,26
7MSR_DCA,Separate,False,0.05,0.075,False,28
7MWN_WI5,SigmaDock,False,0.35,0.375,False,6
7MWN_WI5,Minimal,False,0.075,0.075,False,31
7MWN_WI5,Separate,False,0.07317073170731707,0.24390243902439024,False,19
7MWU_ZPM,SigmaDock,True,1.0,1.0,True,1
7MWU_ZPM,Minimal,True,0.925,0.925,True,3
7MWU_ZPM,Separate,True,0.7804878048780488,0.7804878048780488,True,3
7MY1_IPE,SigmaDock,False,0.04878048780487805,0.5853658536585366,False,4
7MY1_IPE,Minimal,True,0.6585365853658537,0.6585365853658537,True,7
7MY1_IPE,Separate,False,0.15,0.575,True,5
7MYU_ZR7,SigmaDock,True,0.575,0.575,True,5
7MYU_ZR7,Minimal,True,0.575,0.575,True,12
7MYU_ZR7,Separate,True,0.55,0.55,True,13
7N03_ZRP,SigmaDock,True,0.6,0.6,True,8
7N03_ZRP,Minimal,True,0.5,0.5,True,12
7N03_ZRP,Separate,True,0.625,0.625,True,9
7N4N_0BK,SigmaDock,True,1.0,1.0,True,1
7N4N_0BK,Minimal,True,0.625,0.625,True,9
7N4N_0BK,Separate,True,0.675,0.675,True,4
7N4W_P4V,SigmaDock,True,0.2,0.2,True,11
7N4W_P4V,Minimal,True,0.475,0.475,True,9
7N4W_P4V,Separate,True,0.45,0.45,True,11
7N6F_0I1,SigmaDock,True,0.65,0.65,True,6
7N6F_0I1,Minimal,True,0.8,0.8,True,9
7N6F_0I1,Separate,False,0.35,0.375,True,11
7N7B_T3F,SigmaDock,False,0.05,0.175,False,17
7N7B_T3F,Minimal,False,0.075,0.125,True,24
7N7B_T3F,Separate,True,0.075,0.075,False,35
7N7H_CTP,SigmaDock,True,0.975,0.975,True,2
7N7H_CTP,Minimal,True,0.825,0.825,True,5
7N7H_CTP,Separate,False,0.45,0.5,True,4
7NF0_BYN,SigmaDock,False,0.125,0.85,True,3
7NF0_BYN,Minimal,True,0.75,0.75,True,5
7NF0_BYN,Separate,False,0.375,0.55,True,4
7NF3_4LU,SigmaDock,True,0.825,0.825,False,3
7NF3_4LU,Minimal,False,0.4,0.475,True,6
7NF3_4LU,Separate,True,0.775,0.775,False,4
7NFB_GEN,SigmaDock,True,0.725,0.725,True,2
7NFB_GEN,Minimal,False,0.45,0.525,True,3
7NFB_GEN,Separate,False,0.35,0.65,True,2
7NGW_UAW,SigmaDock,True,1.0,1.0,False,1
7NGW_UAW,Minimal,True,1.0,1.0,False,1
7NGW_UAW,Separate,False,0.025,0.975,True,2
7NLV_UJE,SigmaDock,True,1.0,1.0,True,1
7NLV_UJE,Minimal,True,0.925,0.925,True,4
7NLV_UJE,Separate,True,0.975,0.975,True,2
7NP6_UK8,SigmaDock,True,0.875,0.875,True,3
7NP6_UK8,Minimal,True,0.7,0.7,True,4
7NP6_UK8,Separate,True,0.525,0.525,True,7
7NPL_UKZ,SigmaDock,True,0.625,0.625,True,3
7NPL_UKZ,Minimal,True,0.55,0.55,True,3
7NPL_UKZ,Separate,True,0.525,0.525,True,4
7NR8_UOE,SigmaDock,True,0.45,0.45,True,12
7NR8_UOE,Minimal,False,0.1,0.15,True,24
7NR8_UOE,Separate,True,0.275,0.275,True,14
7NSW_HC4,SigmaDock,True,1.0,1.0,True,1
7NSW_HC4,Minimal,True,1.0,1.0,True,1
7NSW_HC4,Separate,True,0.95,0.95,True,2
7NU0_DCL,SigmaDock,True,1.0,1.0,True,1
7NU0_DCL,Minimal,False,0.4,0.6,True,2
7NU0_DCL,Separate,True,0.75,0.75,True,5
7NUT_GLP,SigmaDock,False,0.19047619047619047,0.40476190476190477,False,4
7NUT_GLP,Minimal,False,0.11904761904761904,0.38095238095238093,False,5
7NUT_GLP,Separate,True,0.475,0.475,False,5
7NXO_UU8,SigmaDock,False,0.075,0.225,True,19
7NXO_UU8,Minimal,False,0.075,0.175,True,18
7NXO_UU8,Separate,False,0.05,0.15,False,24
7O0N_CDP,SigmaDock,True,1.0,1.0,False,1
7O0N_CDP,Minimal,True,0.675,0.675,True,5
7O0N_CDP,Separate,False,0.4,0.45,True,5
7O1T_5X8,SigmaDock,False,0.25,0.725,True,3
7O1T_5X8,Minimal,True,0.425,0.425,True,11
7O1T_5X8,Separate,True,0.475,0.475,True,5
7ODY_DGI,SigmaDock,True,0.5,0.5,True,3
7ODY_DGI,Minimal,False,0.475,0.525,True,2
7ODY_DGI,Separate,True,0.675,0.675,True,4
7OEO_V9Z,SigmaDock,True,0.125,0.125,False,24
7OEO_V9Z,Minimal,False,0.075,0.1,True,28
7OEO_V9Z,Separate,False,0.025,0.125,False,26
7OFF_VCB,SigmaDock,False,0.025,0.4,False,8
7OFF_VCB,Minimal,True,0.25,0.25,True,18
7OFF_VCB,Separate,True,0.35,0.35,True,12
7OFK_VCH,SigmaDock,True,0.625,0.625,True,3
7OFK_VCH,Minimal,True,0.55,0.55,True,12
7OFK_VCH,Separate,False,0.375,0.375,True,9
7OLI_8HG,SigmaDock,False,0.2926829268292683,0.3902439024390244,True,6
7OLI_8HG,Minimal,False,0.17073170731707318,0.2682926829268293,True,13
7OLI_8HG,Separate,True,0.625,0.625,True,9
7OMX_CNA,SigmaDock,False,0.125,0.225,False,16
7OMX_CNA,Minimal,False,0.05,0.1,False,30
7OMX_CNA,Separate,False,0.025,0.1,False,31
7OP9_06K,SigmaDock,True,0.5,0.5,False,4
7OP9_06K,Minimal,False,0.25,0.325,False,6
7OP9_06K,Separate,False,0.2682926829268293,0.36585365853658536,False,8
7OPG_06N,SigmaDock,False,0.15,0.75,True,5
7OPG_06N,Minimal,True,0.4,0.4,True,9
7OPG_06N,Separate,True,0.5853658536585366,0.5853658536585366,True,5
7OSO_0V1,SigmaDock,True,0.65,0.65,False,5
7OSO_0V1,Minimal,False,0.4,0.45,True,6
7OSO_0V1,Separate,False,0.2,0.45,True,8
7OZ9_NGK,SigmaDock,False,0.325,0.375,False,9
7OZ9_NGK,Minimal,False,0.075,0.175,False,19
7OZ9_NGK,Separate,True,0.25,0.25,False,17
7OZC_G6S,SigmaDock,False,0.05,0.55,False,5
7OZC_G6S,Minimal,False,0.025,0.425,True,6
7OZC_G6S,Separate,False,0.1,0.625,False,4
7P1F_KFN,SigmaDock,True,0.8,0.8,True,2
7P1F_KFN,Minimal,False,0.25,0.525,False,6
7P1F_KFN,Separate,True,0.75,0.75,True,7
7P1M_4IU,SigmaDock,True,0.7,0.7,False,10
7P1M_4IU,Minimal,False,0.025,0.4,False,8
7P1M_4IU,Separate,False,0.2,0.3,True,8
7P2I_MFU,SigmaDock,True,0.875,0.875,True,2
7P2I_MFU,Minimal,True,0.525,0.525,True,6
7P2I_MFU,Separate,True,0.675,0.675,True,5
7P4C_5OV,SigmaDock,True,0.825,0.825,True,4
7P4C_5OV,Minimal,True,0.55,0.55,True,6
7P4C_5OV,Separate,True,0.75,0.75,True,4
7P5T_5YG,SigmaDock,True,0.525,0.525,True,2
7P5T_5YG,Minimal,True,0.5,0.5,True,3
7P5T_5YG,Separate,False,0.125,0.5,True,4
7PGX_FMN,SigmaDock,False,0.4,0.475,False,6
7PGX_FMN,Minimal,True,0.6,0.6,True,7
7PGX_FMN,Separate,True,0.425,0.425,True,5
7PIH_7QW,SigmaDock,True,0.625,0.625,False,2
7PIH_7QW,Minimal,False,0.45,0.5,True,4
7PIH_7QW,Separate,True,0.5,0.5,False,3
7PJQ_OWH,SigmaDock,False,0.35,0.65,False,2
7PJQ_OWH,Minimal,True,0.9,0.9,True,3
7PJQ_OWH,Separate,False,0.1951219512195122,0.8048780487804879,False,2
7PK0_BYC,SigmaDock,False,0.025,0.05,False,37
7PK0_BYC,Minimal,False,0.025,0.025,False,40
