complex,seed,rmsd
5SIS_JSM,38,1.8620
5SIS_JSM,39,1.5049
5SIS_JSM,4,1.7384
5SIS_JSM,5,3.3960
5SIS_JSM,6,1.7195
5SIS_JSM,7,2.5743
5SIS_JSM,8,1.5987
5SIS_JSM,9,1.3770
6M2B_EZO,0,2.8547
6M2B_EZO,1,2.3232
6M2B_EZO,10,0.8543
6M2B_EZO,11,3.0061
6M2B_EZO,12,3.2886
6M2B_EZO,13,1.7576
6M2B_EZO,14,1.5522
6M2B_EZO,15,1.5392
6M2B_EZO,16,2.2005
6M2B_EZO,17,2.1999
6M2B_EZO,18,1.7352
6M2B_EZO,19,1.3025
6M2B_EZO,2,1.8261
6M2B_EZO,20,2.8429
6M2B_EZO,21,3.1467
6M2B_EZO,22,2.4146
6M2B_EZO,23,2.6216
6M2B_EZO,24,2.4601
6M2B_EZO,25,2.7343
6M2B_EZO,26,1.8891
6M2B_EZO,27,1.7493
6M2B_EZO,28,1.2236
6M2B_EZO,29,2.1161
6M2B_EZO,3,1.7551
6M2B_EZO,30,3.3453
6M2B_EZO,31,1.7996
6M2B_EZO,31,3.0535
6M2B_EZO,32,2.9113
6M2B_EZO,33,2.9249
6M2B_EZO,34,2.8247
6M2B_EZO,35,1.5003
6M2B_EZO,36,2.8702
6M2B_EZO,37,0.6163
6M2B_EZO,38,2.0042
6M2B_EZO,39,1.2373
6M2B_EZO,4,2.9246
6M2B_EZO,5,1.6495
6M2B_EZO,6,2.3089
6M2B_EZO,7,2.4323
6M2B_EZO,8,3.0429
6M2B_EZO,9,1.8761
6M73_FNR,0,3.9542
6M73_FNR,1,0.9869
6M73_FNR,10,1.5449
6M73_FNR,11,1.1694
6M73_FNR,12,4.6546
6M73_FNR,13,1.1270
6M73_FNR,14,1.5352
6M73_FNR,15,1.3886
6M73_FNR,16,1.2997
6M73_FNR,17,1.3511
6M73_FNR,18,4.7233
6M73_FNR,19,4.8437
6M73_FNR,2,4.3932
6M73_FNR,20,1.2242
6M73_FNR,21,4.6531
6M73_FNR,22,4.6345
6M73_FNR,23,4.6392
6M73_FNR,24,1.3550
6M73_FNR,25,1.3573
6M73_FNR,26,4.6582
6M73_FNR,27,1.0135
6M73_FNR,28,1.1115
6M73_FNR,29,1.0507
6M73_FNR,3,4.9864
6M73_FNR,30,4.7376
6M73_FNR,31,1.1557
6M73_FNR,32,1.4453
6M73_FNR,33,4.7376
6M73_FNR,34,4.6131
6M73_FNR,35,0.9550
6M73_FNR,36,4.7342
6M73_FNR,37,2.7759
6M73_FNR,38,4.6744
6M73_FNR,39,4.6785
6M73_FNR,4,1.3387
6M73_FNR,5,1.2091
6M73_FNR,6,0.7787
6M73_FNR,7,1.3188
6M73_FNR,8,1.1190
6M73_FNR,9,4.7520
6T88_MWQ,0,1.8143
6T88_MWQ,1,1.5866
6T88_MWQ,10,1.3698
6T88_MWQ,11,0.4796
6T88_MWQ,12,1.3024
6T88_MWQ,13,1.8204
6T88_MWQ,14,1.6783
6T88_MWQ,15,1.5282
6T88_MWQ,16,1.6733
6T88_MWQ,17,1.2516
6T88_MWQ,18,1.5809
6T88_MWQ,19,1.4920
6T88_MWQ,2,1.2522
6T88_MWQ,20,1.2270
6T88_MWQ,21,0.7852
6T88_MWQ,22,1.5895
6T88_MWQ,23,1.3326
6T88_MWQ,24,1.5498
6T88_MWQ,25,1.9091
6T88_MWQ,26,1.4254
6T88_MWQ,27,1.3418
6T88_MWQ,28,1.0694
6T88_MWQ,29,2.0771
6T88_MWQ,3,4.8617
6T88_MWQ,30,1.0405
6T88_MWQ,31,2.1056
6T88_MWQ,32,1.2088
6T88_MWQ,33,1.2225
6T88_MWQ,34,1.0169
6T88_MWQ,35,0.6611
6T88_MWQ,36,1.1302
6T88_MWQ,37,1.2658
6T88_MWQ,38,0.9929
6T88_MWQ,39,1.6978
6T88_MWQ,4,1.3362
6T88_MWQ,5,1.2721
6T88_MWQ,6,1.2061
6T88_MWQ,7,1.6289
6T88_MWQ,8,1.3350
6T88_MWQ,9,1.6612
6TW5_9M2,0,4.4857
6TW5_9M2,1,6.3117
6TW5_9M2,10,7.2637
6TW5_9M2,11,7.1961
6TW5_9M2,12,6.8144
6TW5_9M2,13,7.0732
6TW5_9M2,14,6.9337
6TW5_9M2,15,4.4306
6TW5_9M2,16,6.8132
6TW5_9M2,17,3.0458
6TW5_9M2,18,6.5497
6TW5_9M2,19,7.3790
6TW5_9M2,2,6.7995
6TW5_9M2,20,2.1621
6TW5_9M2,21,7.9282
6TW5_9M2,22,7.2180
6TW5_9M2,23,7.2052
6TW5_9M2,24,2.5046
6TW5_9M2,25,4.2847
6TW5_9M2,26,7.3858
6TW5_9M2,27,6.9412
6TW5_9M2,28,7.0057
6TW5_9M2,29,3.2096
6TW5_9M2,3,7.6079
6TW5_9M2,30,7.1356
6TW5_9M2,31,7.1295
6TW5_9M2,32,6.7903
6TW5_9M2,33,7.2153
6TW5_9M2,34,6.4900
6TW5_9M2,35,7.3078
6TW5_9M2,36,3.2560
6TW5_9M2,37,5.1958
6TW5_9M2,38,7.0042
6TW5_9M2,39,7.2789
6TW5_9M2,4,6.4686
6TW5_9M2,5,6.8518
6TW5_9M2,6,1.7452
6TW5_9M2,7,7.0704
6TW5_9M2,8,8.0532
6TW5_9M2,9,6.9100
6TW7_NZB,0,3.2588
6TW7_NZB,1,1.5139
6TW7_NZB,10,2.9200
6TW7_NZB,11,1.8140
6TW7_NZB,12,2.8844
6TW7_NZB,13,1.5596
6TW7_NZB,14,1.4251
6TW7_NZB,15,1.5640
6TW7_NZB,16,2.8347
6TW7_NZB,17,5.4522
6TW7_NZB,18,4.2152
6TW7_NZB,19,1.7284
6TW7_NZB,2,3.9767
6TW7_NZB,20,0.8551
6TW7_NZB,21,4.4468
6TW7_NZB,22,1.4091
6TW7_NZB,23,1.2293
6TW7_NZB,24,4.5048
6TW7_NZB,25,1.4573
6TW7_NZB,26,3.2160
6TW7_NZB,27,4.4502
6TW7_NZB,28,1.7018
6TW7_NZB,29,1.4811
6TW7_NZB,3,2.9397
6TW7_NZB,30,2.7825
6TW7_NZB,31,4.7531
6TW7_NZB,32,3.1768
6TW7_NZB,33,1.7220
6TW7_NZB,34,2.7428
6TW7_NZB,35,3.4307
6TW7_NZB,36,1.2989
6TW7_NZB,37,2.6819
6TW7_NZB,38,5.3107
6TW7_NZB,39,2.3442
6TW7_NZB,4,1.7150
6TW7_NZB,5,3.0455
6TW7_NZB,6,5.6155
6TW7_NZB,7,2.7424
6TW7_NZB,8,3.5745
6TW7_NZB,9,2.1826
6VTA_AKN,0,2.7049
6VTA_AKN,1,5.8866
6VTA_AKN,10,8.4772
6VTA_AKN,11,10.5235
6VTA_AKN,12,7.5062
6VTA_AKN,13,9.3611
6VTA_AKN,14,8.0925
6VTA_AKN,15,3.6408
6VTA_AKN,16,3.8818
6VTA_AKN,17,8.2944
6VTA_AKN,18,5.4134
6VTA_AKN,19,8.0548
6VTA_AKN,2,4.0000
6VTA_AKN,20,5.3989
6VTA_AKN,21,8.6112
6VTA_AKN,22,8.5480
6VTA_AKN,23,5.5548
6VTA_AKN,24,4.4345
6VTA_AKN,25,8.0168
6VTA_AKN,26,7.6570
6VTA_AKN,27,5.5045
6VTA_AKN,28,7.2354
6VTA_AKN,29,9.3209
6VTA_AKN,3,8.1099
6VTA_AKN,30,7.3721
6VTA_AKN,31,7.4771
6VTA_AKN,32,7.6610
6VTA_AKN,33,5.7921
6VTA_AKN,34,8.0949
6VTA_AKN,35,7.7082
6VTA_AKN,36,5.0165
6VTA_AKN,37,3.7355
6VTA_AKN,38,3.9694
6VTA_AKN,39,8.3778
6VTA_AKN,4,7.7793
6VTA_AKN,5,5.9918
6VTA_AKN,6,7.7630
6VTA_AKN,7,3.3370
6VTA_AKN,8,3.3754
6VTA_AKN,9,4.9619
6WTN_RXT,0,0.5534
6WTN_RXT,1,0.5537
6WTN_RXT,10,2.3984
6WTN_RXT,11,1.3714
6WTN_RXT,12,2.7331
6WTN_RXT,13,1.0495
6WTN_RXT,14,2.9486
6WTN_RXT,15,1.2262
6WTN_RXT,16,0.9124
6WTN_RXT,17,2.8353
6WTN_RXT,18,3.4176
6WTN_RXT,19,3.2965
6WTN_RXT,2,2.6507
6WTN_RXT,20,2.0097
6WTN_RXT,21,3.0552
6WTN_RXT,22,1.0839
6WTN_RXT,23,2.6841
6WTN_RXT,24,1.3715
6WTN_RXT,25,3.0476
6WTN_RXT,26,2.9195
6WTN_RXT,27,0.5944
6WTN_RXT,28,2.8418
6WTN_RXT,29,2.8915
6WTN_RXT,3,1.2110
6WTN_RXT,30,2.7410
6WTN_RXT,31,3.0161
6WTN_RXT,32,2.4920
6WTN_RXT,33,2.8609
6WTN_RXT,34,1.0585
6WTN_RXT,35,0.6202
6WTN_RXT,36,1.9955
6WTN_RXT,37,3.0142
6WTN_RXT,38,0.6514
6WTN_RXT,39,0.7080
6WTN_RXT,4,0.9683
6WTN_RXT,5,2.1229
6WTN_RXT,6,0.8086
6WTN_RXT,7,2.9651
6WTN_RXT,8,2.9805
6WTN_RXT,9,2.7394
6XBO_5MC,0,1.0799
6XBO_5MC,1,2.2656
6XBO_5MC,10,0.7934
6XBO_5MC,11,2.1197
6XBO_5MC,12,0.8659
6XBO_5MC,13,2.4333
6XBO_5MC,14,1.1976
6XBO_5MC,15,1.5477
6XBO_5MC,16,1.2886
6XBO_5MC,17,1.1822
6XBO_5MC,18,1.3111
6XBO_5MC,19,1.5584
6XBO_5MC,2,0.9288
6XBO_5MC,20,2.4597
6XBO_5MC,21,1.8714
6XBO_5MC,22,1.0808
6XBO_5MC,23,1.5336
6XBO_5MC,24,1.0680
6XBO_5MC,25,1.5061
6XBO_5MC,26,1.1397
6XBO_5MC,27,2.1545
6XBO_5MC,28,1.3643
6XBO_5MC,29,2.0956
6XBO_5MC,3,1.0672
6XBO_5MC,30,2.0008
6XBO_5MC,31,1.1035
6XBO_5MC,32,1.7986
6XBO_5MC,33,4.3070
6XBO_5MC,34,0.7219
6XBO_5MC,35,0.9814
6XBO_5MC,36,1.8988
6XBO_5MC,37,1.9453
6XBO_5MC,38,1.0324
6XBO_5MC,39,2.1608
6XBO_5MC,4,2.0743
6XBO_5MC,5,2.0048
6XBO_5MC,6,2.0288
6XBO_5MC,7,1.2533
6XBO_5MC,8,1.4943
6XBO_5MC,9,2.2617
6XCT_478,0,8.3437
6XCT_478,1,1.0679
6XCT_478,10,3.4454
6XCT_478,11,4.7465
6XCT_478,12,4.9568
6XCT_478,13,5.2977
6XCT_478,14,4.8419
6XCT_478,15,4.6153
6XCT_478,16,1.2358
6XCT_478,17,4.8867
6XCT_478,18,8.2841
6XCT_478,19,4.7120
6XCT_478,2,4.6630
6XCT_478,20,2.0094
6XCT_478,21,4.6425
6XCT_478,22,1.3280
6XCT_478,23,4.7329
6XCT_478,24,4.9645
6XCT_478,25,0.7520
6XCT_478,26,4.4330
6XCT_478,27,4.6964
6XCT_478,28,4.1255
6XCT_478,29,1.2717
6XCT_478,3,4.6475
6XCT_478,30,4.9420
6XCT_478,31,4.5741
6XCT_478,32,4.9954
6XCT_478,33,1.8947
6XCT_478,34,4.8797
6XCT_478,35,4.4790
6XCT_478,36,9.0262
6XCT_478,37,1.2224
6XCT_478,38,8.6990
6XCT_478,39,1.2379
6XCT_478,4,4.6247
6XCT_478,5,6.1495
6XCT_478,6,4.8754
6XCT_478,7,1.8637
6XCT_478,8,8.7461
6XCT_478,9,4.6111
6XG5_TOP,0,1.4479
6XG5_TOP,1,1.8772
6XG5_TOP,10,2.1973
6XG5_TOP,11,1.6796
6XG5_TOP,12,0.6536
6XG5_TOP,13,0.5074
6XG5_TOP,14,0.7250
6XG5_TOP,15,2.4780
6XG5_TOP,16,1.0738
6XG5_TOP,17,2.1405
6XG5_TOP,18,2.2674
6XG5_TOP,19,2.8628
6XG5_TOP,2,0.6427
6XG5_TOP,20,2.3521
6XG5_TOP,21,2.2114
6XG5_TOP,22,1.9900
6XG5_TOP,23,2.4173
6XG5_TOP,24,0.5628
6XG5_TOP,25,1.0476
6XG5_TOP,26,1.0311
6XG5_TOP,27,1.8815
6XG5_TOP,28,2.2706
6XG5_TOP,29,1.8310
6XG5_TOP,3,1.7205
6XG5_TOP,30,0.9237
6XG5_TOP,31,1.0277
6XG5_TOP,32,1.4085
6XG5_TOP,33,1.7298
6XG5_TOP,34,1.6252
6XG5_TOP,35,0.8850
6XG5_TOP,36,2.4239
6XG5_TOP,37,0.8639
6XG5_TOP,38,1.1573
6XG5_TOP,39,1.4744
6XG5_TOP,4,0.7082
6XG5_TOP,5,1.1093
6XG5_TOP,6,1.5430
6XG5_TOP,7,2.3706
6XG5_TOP,8,0.6400
6XG5_TOP,9,1.3936
6XHT_V2V,0,8.6058
6XHT_V2V,1,1.3011
6XHT_V2V,10,1.9634
6XHT_V2V,11,8.6139
6XHT_V2V,12,8.5302
6XHT_V2V,13,1.4015
6XHT_V2V,14,2.2846
6XHT_V2V,15,1.8734
6XHT_V2V,16,1.7326
6XHT_V2V,17,2.0519
6XHT_V2V,18,8.8214
6XHT_V2V,19,2.5623
6XHT_V2V,2,1.6543
6XHT_V2V,20,1.6861
6XHT_V2V,21,1.6673
6XHT_V2V,22,8.6935
6XHT_V2V,23,8.5126
6XHT_V2V,24,2.1885
6XHT_V2V,25,1.1863
6XHT_V2V,26,2.6274
6XHT_V2V,27,1.4841
6XHT_V2V,28,1.4327
6XHT_V2V,29,1.5245
6XHT_V2V,3,1.2461
6XHT_V2V,30,8.9407
6XHT_V2V,31,1.2842
6XHT_V2V,32,8.4933
6XHT_V2V,33,1.4198
6XHT_V2V,34,2.4538
6XHT_V2V,35,2.0120
6XHT_V2V,36,8.7537
6XHT_V2V,37,1.4747
6XHT_V2V,38,2.1284
6XHT_V2V,39,1.5457
6XHT_V2V,4,1.2455
6XHT_V2V,5,1.8963
6XHT_V2V,6,1.7112
6XHT_V2V,7,1.9817
6XHT_V2V,8,1.9129
6XHT_V2V,9,9.0930
6XM9_V55,0,4.1396
6XM9_V55,1,4.1863
6XM9_V55,10,2.7387
6XM9_V55,11,4.0612
6XM9_V55,12,1.1191
6XM9_V55,13,0.9658
6XM9_V55,14,1.3355
6XM9_V55,15,3.7844
6XM9_V55,16,2.7722
6XM9_V55,17,4.5877
6XM9_V55,18,3.8288
6XM9_V55,19,3.6499
6XM9_V55,2,3.7025
6XM9_V55,20,2.7622
6XM9_V55,21,1.4748
6XM9_V55,22,4.4901
6XM9_V55,23,1.1834
6XM9_V55,24,1.2404
6XM9_V55,25,3.6261
6XM9_V55,26,1.1075
6XM9_V55,27,2.8036
6XM9_V55,28,4.1658
6XM9_V55,29,0.3010
6XM9_V55,3,2.1590
6XM9_V55,30,3.3149
6XM9_V55,31,0.7990
6XM9_V55,32,1.6785
6XM9_V55,33,0.7225
6XM9_V55,34,4.0282
6XM9_V55,35,4.2769
6XM9_V55,36,3.7573
6XM9_V55,37,2.7390
6XM9_V55,38,2.7777
6XM9_V55,39,0.9078
6XM9_V55,4,4.0367
6XM9_V55,5,3.7449
6XM9_V55,6,2.7958
6XM9_V55,7,2.6357
6XM9_V55,8,3.6922
6XM9_V55,9,1.2242
6YJA_2BA,0,5.1042
6YJA_2BA,1,2.1661
6YJA_2BA,10,4.8471
6YJA_2BA,11,2.4820
6YJA_2BA,12,2.2688
6YJA_2BA,13,5.0631
6YJA_2BA,14,2.6544
6YJA_2BA,15,5.4003
6YJA_2BA,16,3.6883
6YJA_2BA,17,2.9040
6YJA_2BA,18,2.5424
6YJA_2BA,19,6.6307
6YJA_2BA,2,3.3102
6YJA_2BA,20,3.0935
6YJA_2BA,21,3.7431
6YJA_2BA,22,3.7698
6YJA_2BA,23,3.3470
6YJA_2BA,24,4.8515
6YJA_2BA,25,3.3002
6YJA_2BA,26,6.1254
6YJA_2BA,27,6.6658
6YJA_2BA,28,5.4980
6YJA_2BA,29,3.7705
6YJA_2BA,3,4.0785
6YJA_2BA,30,2.4208
6YJA_2BA,31,3.5507
6YJA_2BA,32,3.9171
6YJA_2BA,33,4.5668
6YJA_2BA,34,2.7960
6YJA_2BA,35,2.1146
6YJA_2BA,36,2.4700
6YJA_2BA,37,4.8618
6YJA_2BA,38,3.8400
6YJA_2BA,39,4.3559
6YJA_2BA,4,5.7175
6YJA_2BA,5,4.3860
6YJA_2BA,6,2.6821
6YJA_2BA,7,4.1640
6YJA_2BA,7,3.7970
6YJA_2BA,8,3.5104
6YJA_2BA,9,5.5426
6YMS_OZH,0,6.5945
6YMS_OZH,1,9.0179
6YMS_OZH,10,7.4328
6YMS_OZH,11,9.0877
6YMS_OZH,12,7.6181
6YMS_OZH,13,6.8637
6YMS_OZH,14,8.2593
6YMS_OZH,15,5.6651
6YMS_OZH,16,8.7648
6YMS_OZH,17,6.8949
6YMS_OZH,18,8.4153
6YMS_OZH,19,7.3025
6YMS_OZH,2,6.9226
6YMS_OZH,20,2.3963
6YMS_OZH,21,6.4999
6YMS_OZH,22,7.5653
6YMS_OZH,23,7.3119
6YMS_OZH,24,7.2799
6YMS_OZH,25,8.0812
6YMS_OZH,26,5.9271
6YMS_OZH,27,8.2201
6YMS_OZH,28,7.2614
6YMS_OZH,29,8.6874
6YMS_OZH,3,9.0617
6YMS_OZH,30,8.5429
6YMS_OZH,31,7.4077
6YMS_OZH,32,7.7351
6YMS_OZH,33,7.8792
6YMS_OZH,34,7.5592
6YMS_OZH,35,7.5547
6YMS_OZH,36,5.6385
6YMS_OZH,37,8.1113
6YMS_OZH,38,8.9254
6YMS_OZH,39,8.5306
6YMS_OZH,4,7.0140
6YMS_OZH,5,6.1999
6YMS_OZH,6,6.7877
6YMS_OZH,7,7.1722
6YMS_OZH,8,7.5462
6YMS_OZH,9,6.6380
6YQV_8K2,0,1.1205
6YQV_8K2,1,2.0495
6YQV_8K2,10,1.7638
6YQV_8K2,11,1.1384
6YQV_8K2,12,1.9173
6YQV_8K2,13,0.8346
6YQV_8K2,14,1.7364
6YQV_8K2,15,1.9451
6YQV_8K2,16,0.8805
6YQV_8K2,17,1.3622
6YQV_8K2,18,1.8377
6YQV_8K2,19,1.5497
6YQV_8K2,2,1.9267
6YQV_8K2,20,0.9125
6YQV_8K2,21,1.6146
6YQV_8K2,22,0.9250
6YQV_8K2,23,1.9461
6YQV_8K2,24,1.9807
6YQV_8K2,25,1.8521
6YQV_8K2,26,1.0421
6YQV_8K2,27,1.5213
6YQV_8K2,28,1.8817
6YQV_8K2,29,1.9579
6YQV_8K2,3,1.1961
6YQV_8K2,30,1.5478
6YQV_8K2,31,1.6128
6YQV_8K2,32,1.6763
6YQV_8K2,33,1.6061
6YQV_8K2,34,1.0256
6YQV_8K2,35,0.4045
6YQV_8K2,36,2.0373
6YQV_8K2,37,2.0051
6YQV_8K2,38,0.5091
6YQV_8K2,39,1.7380
6YQV_8K2,4,1.8743
6YQV_8K2,5,1.8920
6YQV_8K2,6,1.8453
6YQV_8K2,7,2.0301
6YQV_8K2,8,0.4387
6YQV_8K2,9,0.5391
6YQW_82I,0,0.9886
6YQW_82I,1,0.4012
6YQW_82I,10,0.2073
6YQW_82I,11,0.3078
6YQW_82I,12,0.5338
6YQW_82I,13,2.6543
6YQW_82I,14,2.6431
6YQW_82I,15,0.4299
6YQW_82I,16,0.4968
6YQW_82I,17,1.9773
6YQW_82I,18,2.7915
6YQW_82I,19,0.9606
6YQW_82I,2,0.4013
6YQW_82I,20,3.4736
6YQW_82I,21,3.4926
6YQW_82I,22,3.4626
6YQW_82I,23,1.5019
6YQW_82I,24,2.6425
6YQW_82I,25,2.7866
6YQW_82I,26,1.9707
6YQW_82I,27,2.6968
6YQW_82I,28,3.5837
6YQW_82I,29,2.8770
6YQW_82I,3,2.7290
6YQW_82I,30,0.3571
6YQW_82I,31,0.3483
6YQW_82I,32,1.9655
6YQW_82I,33,3.5788
6YQW_82I,34,2.8248
6YQW_82I,35,2.1003
6YQW_82I,36,0.4063
6YQW_82I,37,0.4356
6YQW_82I,38,2.7915
6YQW_82I,39,2.2596
6YQW_82I,4,3.3769
6YQW_82I,5,3.5458
6YQW_82I,6,2.8048
6YQW_82I,7,2.7735
6YQW_82I,8,2.7752
6YQW_82I,9,0.8466
6YR2_T1C,0,4.2468
6YR2_T1C,1,3.0603
6YR2_T1C,10,4.8228
6YR2_T1C,11,3.1792
6YR2_T1C,12,3.7087
6YR2_T1C,13,3.8294
6YR2_T1C,14,1.8521
6YR2_T1C,15,3.7255
6YR2_T1C,16,1.9706
6YR2_T1C,17,2.1918
6YR2_T1C,18,4.7993
6YR2_T1C,19,10.6410
6YR2_T1C,2,1.4703
6YR2_T1C,20,4.0461
6YR2_T1C,21,3.3720
6YR2_T1C,22,4.1666
6YR2_T1C,23,3.0771
6YR2_T1C,24,1.7825
6YR2_T1C,25,3.3439
6YR2_T1C,26,1.2912
6YR2_T1C,27,4.8323
6YR2_T1C,28,3.0119
6YR2_T1C,29,3.5763
6YR2_T1C,3,4.3096
6YR2_T1C,30,2.0931
6YR2_T1C,31,1.8428
6YR2_T1C,32,2.4218
6YR2_T1C,33,3.9740
6YR2_T1C,34,3.6350
6YR2_T1C,35,1.3348
6YR2_T1C,36,10.4503
6YR2_T1C,37,1.7385
6YR2_T1C,38,1.6928
6YR2_T1C,39,4.0376
6YR2_T1C,4,3.0596
6YR2_T1C,5,2.0216
6YR2_T1C,6,1.5214
6YR2_T1C,7,3.3584
6YR2_T1C,8,4.5105
6YR2_T1C,9,1.3858
6YRV_PJ8,0,2.0413
6YRV_PJ8,1,1.7608
6YRV_PJ8,10,1.3509
6YRV_PJ8,11,2.8845
6YRV_PJ8,12,2.3986
6YRV_PJ8,13,1.4354
6YRV_PJ8,14,1.1730
6YRV_PJ8,15,5.0825
6YRV_PJ8,16,2.8623
6YRV_PJ8,17,4.2889
6YRV_PJ8,18,1.3353
6YRV_PJ8,19,1.2113
6YRV_PJ8,2,1.4989
6YRV_PJ8,20,2.0574
6YRV_PJ8,21,1.3834
6YRV_PJ8,22,1.3580
6YRV_PJ8,23,1.2616
6YRV_PJ8,24,1.5188
6YRV_PJ8,25,1.9329
6YRV_PJ8,26,1.3322
6YRV_PJ8,27,1.7009
6YRV_PJ8,28,1.4592
6YRV_PJ8,29,1.6171
6YRV_PJ8,3,4.8216
6YRV_PJ8,30,1.6143
6YRV_PJ8,31,2.6676
6YRV_PJ8,32,1.3153
6YRV_PJ8,33,4.4652
6YRV_PJ8,34,2.1161
6YRV_PJ8,35,1.8546
6YRV_PJ8,36,3.4179
6YRV_PJ8,37,1.6783
6YRV_PJ8,38,2.0595
6YRV_PJ8,39,1.3099
6YRV_PJ8,4,2.2548
6YRV_PJ8,5,1.0973
6YRV_PJ8,6,1.6303
