complex,arm,n,moden,gross_anteil,hat_korrekte,n_korrekt,gross_richtig,wahl_gross,trifft
1PMN_984,Minimal,40,6,0.85,True,11,False,True,True
1Q1G_MTI,Minimal,40,2,0.875,True,23,True,True,True
1Q41_IXM,Minimal,40,5,0.675,True,26,True,True,True
1Q4G_BFL,Minimal,40,3,0.6,True,8,False,True,True
1R1H_BIR,Minimal,40,4,0.875,True,4,False,True,True
1R55_097,Minimal,40,8,0.6,True,5,False,True,True
1R58_AO5,Minimal,40,10,0.375,True,6,False,True,True
1R9O_FLP,Minimal,40,6,0.475,True,5,False,False,True
1S19_MC9,Minimal,40,9,0.4,True,2,False,True,True
1S3V_TQD,Minimal,40,10,0.25,True,4,False,False,True
1SG0_STL,Minimal,40,4,0.45,True,18,True,True,True
1SJ0_E4D,Minimal,40,5,0.725,True,4,False,True,True
1SQ5_PAU,Minimal,40,15,0.325,True,7,False,False,True
1SQN_NDR,Minimal,40,3,0.65,True,19,True,True,True
1T40_ID5,Minimal,40,18,0.15,False,0,False,False,False
1T46_STI,Minimal,40,4,0.675,True,3,False,True,True
1T9B_1CS,Minimal,40,11,0.225,True,10,True,False,True
1TOW_CRZ,Minimal,40,5,0.475,True,33,True,True,True
1TT1_KAI,Minimal,40,3,0.925,True,17,False,True,True
1TZ8_DES,Minimal,40,20,0.15,False,0,False,False,False
1U1C_BAU,Minimal,40,9,0.25,True,9,False,False,True
1U4D_DBQ,Minimal,40,7,0.55,True,16,True,False,False
1UML_FR4,Minimal,40,7,0.775,True,8,False,True,True
1UNL_RRC,Minimal,40,11,0.75,True,7,False,True,True
1UOU_CMU,Minimal,40,4,0.575,True,12,True,True,True
1V0P_PVB,Minimal,40,9,0.75,True,8,False,True,True
1V48_HA1,Minimal,40,3,0.725,True,7,False,True,True
1V4S_MRK,Minimal,40,10,0.675,True,13,False,True,True
1VCJ_IBA,Minimal,40,9,0.4,False,0,False,True,False
1W1P_GIO,Minimal,40,3,0.525,True,17,True,False,False
1W2G_THM,Minimal,40,4,0.45,True,13,True,True,True
1X8X_TYR,Minimal,40,1,1.0,True,29,True,True,True
1XM6_5RM,Minimal,40,4,0.875,True,26,True,True,False
1XOQ_ROF,Minimal,40,5,0.55,True,19,True,True,True
1XOZ_CIA,Minimal,40,13,0.4,True,10,True,True,True
1Y6B_AAX,Minimal,40,15,0.425,True,8,False,True,True
1YGC_905,Minimal,40,22,0.2,True,4,False,True,False
1YQY_915,Minimal,40,2,0.975,True,4,False,True,False
1YV3_BIT,Minimal,40,7,0.75,True,20,True,True,True
1YVF_PH7,Minimal,40,5,0.5,True,23,True,False,True
1YWR_LI9,Minimal,40,8,0.725,True,2,False,True,True
1Z95_198,Minimal,40,8,0.425,True,6,False,True,True
2BM2_PM2,Minimal,40,16,0.175,False,0,False,False,False
2BR1_PFP,Minimal,40,6,0.575,True,16,True,True,True
2BSM_BSM,Minimal,40,3,0.7,True,23,True,True,True
1G9V_RQ3,Separate,40,10,0.475,True,21,True,True,True
1GKC_NFH,Separate,40,15,0.4,True,3,False,True,True
1GM8_SOX,Separate,40,7,0.275,True,14,True,False,False
1GPK_HUP,Separate,40,3,0.6,True,13,False,True,False
1HNN_SKF,Separate,40,4,0.275,True,10,False,False,True
1HP0_AD3,Separate,40,4,0.6,True,5,False,True,False
1HQ2_PH2,Separate,40,3,0.625,True,11,False,True,True
1HVY_D16,Separate,40,16,0.15,True,2,False,False,False
1HWI_115,Separate,40,5,0.8,True,4,False,True,True
1HWW_SWA,Separate,40,2,0.825,False,0,False,True,False
1IA1_TQ3,Separate,40,4,0.6,True,23,True,True,True
1IG3_VIB,Separate,40,14,0.225,True,1,False,False,False
1J3J_CP6,Separate,40,5,0.825,True,30,True,True,True
1JD0_AZM,Separate,40,1,1.0,True,36,True,True,True
1JJE_BYS,Separate,40,8,0.475,True,6,False,True,True
1JLA_TNK,Separate,40,7,0.75,True,16,True,True,True
1K3U_IAD,Separate,40,4,0.6,False,0,False,False,False
1KE5_LS1,Separate,40,1,1.0,True,32,True,True,True
1KZK_JE2,Separate,40,14,0.2,True,2,False,True,True
1L2S_STC,Separate,40,7,0.425,True,2,False,True,True
1L7F_BCZ,Separate,40,9,0.775,True,8,False,True,True
1LPZ_CMB,Separate,40,26,0.175,True,2,False,True,True
1LRH_NLA,Separate,40,6,0.55,True,18,True,True,True
1M2Z_DEX,Separate,40,4,0.825,True,28,True,True,True
1MEH_MOA,Separate,40,24,0.175,True,2,False,False,True
1MMV_3AR,Separate,40,7,0.4,True,6,False,True,True
1MZC_BNE,Separate,40,36,0.05,False,0,False,False,False
1N1M_A3M,Separate,40,3,0.775,True,8,False,True,True
1N2J_PAF,Separate,40,4,0.7,True,29,True,True,True
1N2V_BDI,Separate,40,2,0.575,True,32,True,True,True
1N46_PFA,Separate,40,2,0.525,True,13,False,True,True
1NAV_IH5,Separate,40,2,0.5,True,24,True,False,True
1OF1_SCT,Separate,40,4,0.875,True,17,False,True,True
1OF6_DTY,Separate,40,1,1.0,True,26,True,True,True
1OPK_P16,Separate,40,4,0.325,True,21,True,True,True
1OQ5_CEL,Separate,40,4,0.65,True,9,False,False,True
1OWE_675,Separate,40,4,0.525,True,27,True,True,True
1OYT_FSN,Separate,40,4,0.9,True,19,True,True,True
1P2Y_NCT,Separate,40,10,0.4,True,14,False,True,True
1P62_GEO,Separate,40,6,0.65,True,8,False,True,True
1PMN_984,Separate,40,9,0.75,True,17,True,True,True
1Q1G_MTI,Separate,40,2,0.875,True,23,True,True,True
1Q41_IXM,Separate,40,6,0.75,True,29,True,True,True
1Q4G_BFL,Separate,40,2,0.7,True,5,False,False,True
1R1H_BIR,Separate,40,3,0.925,True,4,False,True,True
1R55_097,Separate,40,7,0.725,True,4,False,True,True
1R58_AO5,Separate,40,11,0.4,True,5,False,True,False
1R9O_FLP,Separate,40,2,0.5,True,9,False,True,True
1S19_MC9,Separate,40,6,0.375,True,1,False,True,True
1S3V_TQD,Separate,40,9,0.275,True,6,False,False,False
1SG0_STL,Separate,40,4,0.475,True,5,False,True,True
1SJ0_E4D,Separate,40,6,0.85,True,5,False,True,True
1SQ5_PAU,Separate,40,22,0.125,True,4,False,False,True
1SQN_NDR,Separate,40,3,0.8,True,15,False,True,True
1T40_ID5,Separate,40,15,0.2,False,0,False,False,False
1T46_STI,Separate,40,4,0.65,True,4,False,True,True
1T9B_1CS,Separate,40,17,0.225,True,3,False,False,True
1TOW_CRZ,Separate,40,3,0.525,True,35,True,True,True
1TT1_KAI,Separate,40,2,0.975,True,21,True,True,True
1TZ8_DES,Separate,40,16,0.25,True,3,False,True,False
1U1C_BAU,Separate,40,7,0.8,True,19,True,True,True
1U4D_DBQ,Separate,40,8,0.4,True,16,True,True,True
1UML_FR4,Separate,40,6,0.85,True,6,False,True,True
1UNL_RRC,Separate,40,4,0.925,True,9,False,True,True
1UOU_CMU,Separate,40,5,0.75,True,22,True,True,True
1V0P_PVB,Separate,40,7,0.825,True,13,False,True,True
1V48_HA1,Separate,40,4,0.775,True,10,False,True,True
1V4S_MRK,Separate,40,5,0.775,True,11,False,True,True
1VCJ_IBA,Separate,40,9,0.25,False,0,False,False,False
1W1P_GIO,Separate,40,4,0.625,True,22,True,True,True
1W2G_THM,Separate,40,3,0.825,True,19,True,True,True
1X8X_TYR,Separate,40,3,0.95,True,25,True,True,True
1XM6_5RM,Separate,40,2,0.95,True,26,True,True,True
1XOQ_ROF,Separate,40,4,0.475,True,17,False,False,True
1XOZ_CIA,Separate,40,11,0.4,True,6,False,False,True
1Y6B_AAX,Separate,40,10,0.625,True,9,False,True,True
1YGC_905,Separate,40,24,0.125,True,2,False,False,False
1YQY_915,Separate,40,1,1.0,True,5,False,True,True
1YV3_BIT,Separate,40,4,0.5,True,18,True,True,True
1YVF_PH7,Separate,40,10,0.45,True,15,False,False,True
1YWR_LI9,Separate,40,10,0.625,True,3,False,True,True
1Z95_198,Separate,40,5,0.625,True,9,False,True,True
2BM2_PM2,Separate,40,18,0.15,True,4,False,False,False
2BR1_PFP,Separate,40,9,0.7,True,20,True,True,True
2BSM_BSM,Separate,40,4,0.775,True,25,True,True,True
